PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-25.267913,-22.408955,44.870320
-25.267913,-21.509665,44.870320
-25.267913,-20.610375,44.870320
-25.267913,-19.711085,44.870320
-25.267913,-18.811795,44.870320
-25.267913,-17.912505,44.870320
-25.267913,-17.013215,44.870320
-25.267913,-16.113925,44.870320
-25.267913,-15.214635,44.870320
-25.267913,-14.315345,44.870320
-25.267913,-13.416055,44.870320
-25.267913,-12.516765,44.870320
-25.267913,-11.617475,44.870320
-25.267913,-10.718185,44.870320
-25.267913,-9.818895,44.870320
-25.267913,-8.919605,44.870320
-25.267913,-8.020315,44.870320
-25.267913,-7.121025,44.870320
-25.267913,-6.221735,44.870320
-25.267913,-5.322445,44.870320
-25.267913,-4.423155,44.870320
-25.267913,-3.523865,44.870320
-25.267913,-2.624575,44.870320
-25.267913,-1.725285,44.870320
-25.267913,-0.825995,44.870320
-25.267913,0.073295,44.870320
-25.267913,0.972585,44.870320
-25.267913,1.871875,44.870320
-25.267913,2.771165,44.870320
-25.267913,3.670455,44.870320
-25.267913,4.569745,44.870320
-25.267913,5.469035,44.870320
-25.267913,6.368325,44.870320
-25.267913,7.267615,44.870320
-25.267913,8.166905,44.870320
-25.267913,9.066195,44.870320
-25.267913,9.965485,44.870320
-25.267913,10.864775,44.870320
-25.267913,11.764065,44.870320
-25.267913,12.663355,44.870320
-25.267913,13.562645,44.870320
-25.267913,14.461935,11.423064
-25.267913,15.361225,13.151908
-25.267913,16.260515,13.151908
-25.267913,17.159805,44.870320
-25.267913,18.059095,13.151908
-25.267913,18.958385,44.870320
-25.267913,19.857675,44.870320
-25.267913,20.756965,44.870320
-25.267913,21.656255,44.870320
-24.450339,-22.408955,44.870320
-24.450339,-21.509665,44.870320
-24.450339,-20.610375,44.870320
-24.450339,-19.711085,44.870320
-24.450339,-18.811795,44.870320
-24.450339,-17.912505,44.870320
-24.450339,-17.013215,44.870320
-24.450339,-16.113925,44.870320
-24.450339,-15.214635,44.870320
-24.450339,-14.315345,44.870320
-24.450339,-13.416055,44.870320
-24.450339,-12.516765,44.870320
-24.450339,-11.617475,44.870320
-24.450339,-10.718185,44.870320
-24.450339,-9.818895,44.870320
-24.450339,-8.919605,44.870320
-24.450339,-8.020315,44.870320
-24.450339,-7.121025,44.870320
-24.450339,-6.221735,44.870320
-24.450339,-5.322445,44.870320
-24.450339,-4.423155,44.870320
-24.450339,-3.523865,44.870320
-24.450339,-2.624575,44.870320
-24.450339,-1.725285,44.870320
-24.450339,-0.825995,44.870320
-24.450339,0.073295,44.870320
-24.450339,0.972585,44.870320
-24.450339,1.871875,44.870320
-24.450339,2.771165,44.870320
-24.450339,3.670455,44.870320
-24.450339,4.569745,44.870320
-24.450339,5.469035,44.870320
-24.450339,6.368325,44.870320
-24.450339,7.267615,44.870320
-24.450339,8.166905,44.870320
-24.450339,9.066195,44.870320
-24.450339,9.965485,44.870320
-24.450339,10.864775,44.870320
-24.450339,11.764065,44.870320
-24.450339,12.663355,44.870320
-24.450339,13.562645,11.423064
-24.450339,14.461935,11.423064
-24.450339,15.361225,11.423064
-24.450339,16.260515,8.298425
-24.450339,17.159805,10.411754
-24.450339,18.059095,13.151908
-24.450339,18.958385,11.423064
-24.450339,19.857675,44.870320
-24.450339,20.756965,44.870320
-24.450339,21.656255,44.870320
-23.632765,-22.408955,44.870320
-23.632765,-21.509665,44.870320
-23.632765,-20.610375,44.870320
-23.632765,-19.711085,44.870320
-23.632765,-18.811795,44.870320
-23.632765,-17.912505,44.870320
-23.632765,-17.013215,44.870320
-23.632765,-16.113925,44.870320
-23.632765,-15.214635,44.870320
-23.632765,-14.315345,44.870320
-23.632765,-13.416055,44.870320
-23.632765,-12.516765,44.870320
-23.632765,-11.617475,44.870320
-23.632765,-10.718185,44.870320
-23.632765,-9.818895,44.870320
-23.632765,-8.919605,44.870320
-23.632765,-8.020315,44.870320
-23.632765,-7.121025,44.870320
-23.632765,-6.221735,44.870320
-23.632765,-5.322445,44.870320
-23.632765,-4.423155,44.870320
-23.632765,-3.523865,44.870320
-23.632765,-2.624575,44.870320
-23.632765,-1.725285,44.870320
-23.632765,-0.825995,44.870320
-23.632765,0.073295,44.870320
-23.632765,0.972585,44.870320
-23.632765,1.871875,44.870320
-23.632765,2.771165,44.870320
-23.632765,3.670455,44.870320
-23.632765,4.569745,44.870320
-23.632765,5.469035,44.870320
-23.632765,6.368325,44.870320
-23.632765,7.267615,44.870320
-23.632765,8.166905,44.870320
-23.632765,9.066195,44.870320
-23.632765,9.965485,44.870320
-23.632765,10.864775,44.870320
-23.632765,11.764065,44.870320
-23.632765,12.663355,13.151908
-23.632765,13.562645,11.423064
-23.632765,14.461935,8.298425
-23.632765,15.361225,8.682908
-23.632765,16.260515,8.298425
-23.632765,17.159805,8.682908
-23.632765,18.059095,13.151908
-23.632765,18.958385,11.423064
-23.632765,19.857675,44.870320
-23.632765,20.756965,44.870320
-23.632765,21.656255,44.870320
-22.815191,-22.408955,44.870320
-22.815191,-21.509665,44.870320
-22.815191,-20.610375,44.870320
-22.815191,-19.711085,44.870320
-22.815191,-18.811795,44.870320
-22.815191,-17.912505,44.870320
-22.815191,-17.013215,44.870320
-22.815191,-16.113925,44.870320
-22.815191,-15.214635,44.870320
-22.815191,-14.315345,44.870320
-22.815191,-13.416055,44.870320
-22.815191,-12.516765,44.870320
-22.815191,-11.617475,44.870320
-22.815191,-10.718185,44.870320
-22.815191,-9.818895,44.870320
