GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1721.13,4165.52,5362.82,501.83,272.05,-171.11,-3972.99,-32327.33,1792.14,22625.89,-5991.55,162.49,-30.05,-5829.06,-5859.12,,,,,
11,1804.72,4334.94,5308.26,519.35,286.26,-202.27,-3840.04,-31908.83,1745.49,22444.66,-6424.64,182.65,492.52,-6241.99,-5749.47,,,,,
21,1830.16,4212.17,5314.73,515.04,273.48,-207.18,-3865.26,-31749.33,1709.54,22559.7,-6602.19,187.32,593.03,-6414.86,-5821.83,,,,,
31,1844.79,4192.26,5279.78,507.13,258.84,-195.07,-3885.31,-32100.3,1717.25,22664.58,-6339.37,184.34,283.95,-6155.04,-5871.09,,,,,
41,1784.23,4303.55,5268.58,508.81,275.65,-199.72,-3938.55,-31950.33,1757.05,22622.97,-6413.47,180.28,432.24,-6233.19,-5800.95,,,,,
51,1795.19,4220.46,5271.26,502.95,266.26,-181.58,-3852.15,-31998.6,1756.86,22486.7,-6362.01,182.72,267.36,-6179.28,-5911.93,,,,,
61,1837.4,4247.22,5268.16,497.14,285.97,-192.62,-3854.87,-32125.85,1729.55,22576.74,-6302.28,181.59,268.84,-6120.69,-5851.85,,,,,
71,1824.09,4192.56,5264.33,504.18,278.99,-157.87,-3874.15,-31838.66,1739.06,22620.3,-6553.73,182.69,552.84,-6371.04,-5818.19,,,,,
81,1800.15,4220.59,5219.26,492.87,275.73,-188.72,-3859.89,-32035.58,1749.63,22641.37,-6418.83,185.07,315.42,-6233.76,-5918.34,,,,,
91,1801.53,4269.26,5270.11,509.54,280.62,-180.74,-3830.87,-31889.19,1751.77,22657.38,-6547.72,190.74,639.4,-6356.98,-5717.58,,,,,
101,1812.81,4190.86,5275.85,492.26,273.1,-196.44,-3819.63,-31783.17,1750.39,22575.9,-6657.72,192.35,571.93,-6465.37,-5893.45,,,,,
111,1862.23,4178.87,5261,493.31,269.33,-169.27,-3886.38,-31874.25,1733.32,22615.4,-6522.97,181.56,483.58,-6341.4,-5857.83,,,,,
121,1860.46,4235.31,5306.07,519.63,280.29,-177.55,-3898.74,-31845.33,1714.09,22634.36,-6576.48,185.02,628.58,-6391.46,-5762.88,,,,,
131,1829.43,4233.02,5271.52,513.5,264.63,-202,-3828.32,-31780.67,1727.53,22609.87,-6686.97,187.66,638.5,-6499.31,-5860.81,,,,,
141,1844.48,4233.59,5250.57,508.24,286.21,-173.68,-3826.33,-31952.47,1733.18,22674.94,-6543.81,186.78,578.73,-6357.03,-5778.3,,,,,
151,1828.14,4190.06,5231.56,503.91,284.89,-172.01,-3912.84,-31895.58,1738.52,22646.45,-6584.61,181.31,443.1,-6403.3,-5960.2,,,,,
161,1825.75,4219.74,5225.84,506.11,285.83,-164.28,-3884.26,-32004.46,1711.08,22616.22,-6523.93,184.19,337.57,-6339.74,-6002.17,,,,,
171,1754.38,4205.53,5256.1,516.18,270.36,-181.66,-3866.73,-32043.8,1743.68,22739.18,-6511.23,183.57,393.21,-6327.66,-5934.45,,,,,
181,1749.15,4244.06,5214.93,501.66,259.43,-179.55,-3876.22,-31936.88,1771.4,22648.99,-6566.33,182.03,396.96,-6384.3,-5987.34,,,,,
191,1852.31,4223.67,5285.16,511.55,273.38,-212.85,-3877.55,-32117.76,1750.55,22628.66,-6391.16,180.53,317.13,-6210.64,-5893.51,,,,,
201,1804.43,4176.18,5288.42,506.14,276.19,-202.64,-3886.51,-32189.86,1726.06,22748.22,-6345.84,181.26,246.62,-6164.57,-5917.95,,,,,
211,1826.51,4156.09,5226.42,518.41,283.37,-187.42,-3877.67,-31974.49,1763.25,22580.02,-6465.58,179.9,314.51,-6285.68,-5971.17,,,,,
221,1845.75,4166.21,5251.42,508.16,262.67,-192.7,-3873.23,-31978.87,1743.75,22593.69,-6454.61,179.32,326.86,-6275.29,-5948.43,,,,,
231,1789.61,4192.36,5261.68,503.45,282.07,-205.01,-3851.68,-32088.03,1762.65,22632.97,-6425.12,182.04,280.05,-6243.08,-5963.03,,,,,
241,1780.15,4327.54,5270.44,517.74,260.41,-213.99,-3896.94,-32098.28,1747.74,22666.54,-6342.36,179.44,361.35,-6162.92,-5801.57,,,,,
251,1766.82,4296.78,5270.32,524.68,280.22,-215.23,-3872.63,-32111.96,1744.08,22540.09,-6327.59,183.27,223.15,-6144.32,-5921.17,,,,,
261,1838.41,4283.3,5212.53,514.71,286.07,-198.39,-3870.73,-31712.16,1724.69,22462.08,-6604.74,180.49,540.53,-6424.25,-5883.72,,,,,
271,1770.5,4270.39,5248.91,513.78,284.79,-208.27,-3905.11,-32050.36,1754.09,22579.97,-6390.05,181.74,258.71,-6208.31,-5949.6,,,,,
281,1872.24,4287.61,5235.59,526.04,276.51,-185.74,-3896.73,-32071.15,1697.04,22671.61,-6431.91,183.93,413.04,-6247.98,-5834.94,,,,,
291,1780.91,4128.73,5215.64,513.32,249.91,-163.75,-3840.12,-31827.76,1746.9,22649.45,-6657.94,186.38,453.22,-6471.56,-6018.34,,,,,
301,1855.46,4170.44,5259.25,519.84,277.47,-169.76,-3889.53,-31888.85,1708.79,22586.97,-6561.34,182.79,430.05,-6378.55,-5948.5,,,,,
311,1834.55,4155.58,5335.82,497.43,266.8,-206.34,-3898.31,-31812.82,1740.92,22545.54,-6506,182.98,459.19,-6323.02,-5863.83,,,,,
321,1810.1,4173.36,5232.97,503.95,285,-196.66,-3849.68,-31600.44,1749.06,22556.37,-6781.25,190.01,664.03,-6591.23,-5927.21,,,,,
331,1817.7,4181.21,5262.86,502.46,271.63,-233.41,-3863.86,-31505.98,1749.87,22432.47,-6779,190.43,614.96,-6588.57,-5973.62,,,,,
341,1789.85,4224.45,5211.09,508.37,284.09,-190.1,-3885.52,-31557.35,1711,22561.41,-6766.91,192.77,657.29,-6574.14,-5916.85,,,,,
351,1785.35,4260.07,5220.18,499.56,289.48,-185.33,-3842.29,-31532.1,1750.09,22530.25,-6858.91,193.03,775.27,-6665.88,-5890.62,,,,,
361,1810.7,4157.98,5225.74,502.3,293.15,-198.74,-3839.05,-31455.92,1732.33,22445.44,-6848.66,192.8,673.93,-6655.86,-5981.93,,,,,
371,1849.51,4264.13,5257.02,509.88,269.16,-200.96,-3842.1,-31585.55,1730.52,22599.8,-6870.84,188.12,851.4,-6682.72,-5831.32,,,,,
381,1811.48,4285.42,5184.95,521.69,279.84,-202.82,-3826.59,-31615.43,1750.18,22506.25,-6710.29,192.31,694.97,-6517.98,-5823.01,,,,,
391,1774.56,4274.07,5236.47,505.14,304.74,-204.58,-3807.86,-31587.43,1730.53,22484.43,-6739.21,189.96,710.06,-6549.25,-5839.19,,,,,
401,1786.81,4219.7,5225.18,501.18,280.88,-213.11,-3823.05,-31577.17,1744.32,22484.83,-6757.37,192.28,629.57,-6565.09,-5935.52,,,,,
411,1841.11,4284.16,5196.12,522.08,259.73,-234.99,-3838.41,-31650.28,1735.07,22621.09,-6800.42,192.64,735.68,-6607.78,-5872.1,,,,,
421,1822.38,4155.17,5254.99,500.97,293.2,-196.92,-3883.61,-31606.54,1754.21,22612.02,-6830.35,186.39,705.86,-6643.96,-5938.1,,,,,
431,1835.85,4258.05,5257.28,508.85,276.65,-198.77,-3882.32,-31575.04,1753.1,22562.19,-6868.24,187.72,795.84,-6680.52,-5884.68,,,,,
441,1824.84,4142.91,5205.2,491.26,282.77,-186.88,-3888.01,-31601.12,1743.24,22552.24,-6756.83,185.32,566.45,-6571.51,-6005.06,,,,,
451,1836.54,4208.38,5207.72,505.41,279.02,-171.96,-3870.22,-31657.48,1727.3,22682.64,-6798.05,190.04,747.34,-6608.01,-5860.67,,,,,
461,1800.31,4206.83,5195.15,517.12,238.48,-153.52,-3878.35,-31693.72,1751.27,22645.73,-6751.94,185.68,629.3,-6566.26,-5936.96,,,,,
471,1857.94,4218.88,5254.19,510.88,274.07,-223.66,-3833.91,-31695.18,1782.4,22669.49,-6824.16,187.06,815.11,-6637.1,-5821.99,,,,,
481,1766.57,4199.5,5220.8,503.84,265.97,-215.16,-3829.58,-31583.01,1732.65,22518.72,-6787.12,186.81,580.29,-6600.31,-6020.02,,,,,
491,1823.58,4215.19,5186.7,512.64,267.92,-187.76,-3890.55,-31805.87,1765.96,22579.02,-6609.72,187.52,466.84,-6422.2,-5955.36,,,,,
501,1811.33,4172.15,5223.79,496.13,277,-167.01,-3863.33,-31770.78,1694.56,22658.66,-6735.07,188.28,532.5,-6546.79,-6014.29,,,,,
511,1846.5,4256.34,5205.24,514.74,264.8,-204.87,-3878.43,-31704.94,1718.85,22569,-6728.17,187.75,587.22,-6540.42,-5953.2,,,,,
521,1811.17,4138.2,5230.14,503.84,277.73,-183.78,-3867.15,-31660.78,1708.31,22649.77,-6743.9,188.49,607.45,-6555.41,-5947.96,,,,,
531,1809.57,4158.79,5224.46,494.83,272.38,-197.09,-3820.5,-31746.74,1743.24,22699.78,-6747.21,191.92,638.72,-6555.29,-5916.56,,,,,
541,1835,4250.46,5232.75,523.28,254.13,-193.24,-3897.86,-31705.71,1717.87,22585.53,-6674.5,186.7,602.21,-6487.79,-5885.58,,,,,
551,1772.84,4173.55,5237.87,493.99,281.46,-234.35,-3845.24,-31778.83,1730.04,22696.19,-6748.25,190.89,527.52,-6557.36,-6029.85,,,,,
561,1798.03,4229.08,5215.24,492.88,291.17,-208.53,-3885.96,-31889.9,1733.91,22712.73,-6632.06,190.16,488.65,-6441.89,-5953.24,,,,,
571,1802.41,4138.69,5186.38,512.03,268.76,-185.31,-3790.18,-31729.2,1733.17,22716.73,-6803.4,197.01,653.48,-6606.39,-5952.91,,,,,
581,1831.91,4118.38,5230.62,491.1,272.59,-184.52,-3823.56,-31727.93,1732.85,22669.18,-6744.92,190.27,610.62,-6554.65,-5944.03,,,,,
591,1859.15,4187.28,5250.58,510.97,264.27,-217.62,-3814.49,-31715.26,1739.66,22587.88,-6722.88,192.11,652.43,-6530.77,-5878.34,,,,,
601,1786.32,4188.08,5200.45,508.81,266.77,-200.83,-3839.2,-31629.12,1708.26,22614.59,-6811.23,189.51,604.14,-6621.72,-6017.58,,,,,
611,1774.92,4207.82,5233.41,494.17,271.23,-218.89,-3836.02,-32075.24,1753.18,22765.29,-6504.12,189.16,369.87,-6314.95,-5945.08,,,,,
621,1792.54,4199.97,5262.07,490.05,271.77,-240.45,-3874.09,-31879.79,1755.67,22666.72,-6615.21,185.57,444.45,-6429.64,-5985.19,,,,,
631,1789.02,4343.4,5163.5,513.54,268.92,-188.32,-3820.08,-31954.36,1740.28,22614.58,-6575.5,186.35,470.46,-6389.15,-5918.69,,,,,
641,1804.29,4165.61,5182.6,510.47,279.85,-207.94,-3814.59,-31933.56,1728.83,22724.61,-6679.37,190.1,440.17,-6489.28,-6049.1,,,,,
651,1746.89,4324.14,5202.11,506.49,276.6,-201.56,-3845.13,-31684.55,1738.58,22678.79,-6821.38,189.42,742.35,-6631.96,-5889.6,,,,,
661,1798.52,4203.49,5214.67,490.83,281.82,-201.86,-3848.81,-31902.01,1762.46,22701.13,-6643.69,186.62,500.25,-6457.07,-5956.82,,,,,
671,1818.43,4272.34,5247.29,518.82,265.63,-210.53,-3877.42,-31592.59,1736.01,22562.76,-6849.42,188.78,740.76,-6660.63,-5919.88,,,,,
681,1791.2,4287.7,5229.6,509.93,260,-220.33,-3865.6,-31775.05,1723.69,22650.44,-6692.51,184.93,591.57,-6507.58,-5916.01,,,,,
691,1844.63,4254.52,5235.63,522,275.01,-199.79,-3843.43,-31661.54,1736.78,22609.69,-6792.44,186.9,773.51,-6605.54,-5832.03,,,,,
701,1796.17,4249.32,5207.57,494.46,282.8,-188.06,-3866.29,-31635.66,1742.27,22651.66,-6805.66,187.76,734.24,-6617.9,-5883.66,,,,,
711,1825.77,4170.01,5199.68,494.88,263.68,-224.63,-3834.2,-31754.03,1754.53,22602.04,-6692.21,188.64,497.73,-6503.58,-6005.84,,,,,
