GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1765.26,4508.81,5418.24,507.72,292.9,-174.98,-3935.89,-32355.47,1752.86,22509.44,-5906.53,162.26,288.88,-5744.27,-5455.39,,,,,
11,1739.74,4528.53,5284.28,497.53,291.41,-167.94,-3816.49,-32298.57,1713.07,22709.85,-6275.4,183.42,481.39,-6091.98,-5610.59,,,,,
21,1805.34,4520.75,5306.52,510.04,257.63,-184.15,-3890.63,-32066.57,1726,22518.38,-6299.7,180.91,503.3,-6118.79,-5615.49,,,,,
31,1791.65,4468.2,5285.9,519.39,275.18,-197.94,-3860.76,-32220.32,1755.18,22824.88,-6336.06,183.4,641.36,-6152.66,-5511.3,,,,,
41,1822.9,4523.34,5253.84,509.63,252.03,-200.99,-3894.74,-31882.74,1742.08,22729.07,-6573.27,181.46,854.42,-6391.81,-5537.39,,,,,
51,1800.79,4525.59,5256.91,513.04,270.55,-174.68,-3890.74,-32062.18,1764.36,22721.3,-6490.33,186.28,724.94,-6304.05,-5579.12,,,,,
61,1783.93,4445.21,5268.4,500.99,265.85,-164.44,-3890.12,-32033.18,1759.56,22693.41,-6431.5,183.01,629.61,-6248.49,-5618.88,,,,,
71,1786.6,4414.87,5229.83,499.67,297.18,-152.07,-3910.55,-32161.08,1744.25,22680.36,-6316.85,182.77,429.07,-6134.08,-5705.01,,,,,
81,1823.79,4459.31,5276.07,516.32,263.69,-189.11,-3885.51,-32153.04,1749.45,22685.07,-6301.61,182.56,546.05,-6119.05,-5573,,,,,
91,1772.07,4546.02,5279.47,505.98,272.94,-205.7,-3863.11,-31994.95,1736.88,22522.1,-6449.81,182.54,571.68,-6267.27,-5695.59,,,,,
101,1786.76,4459.5,5245.79,504.11,274.45,-176.89,-3871.53,-32000.34,1735.38,22609.6,-6439.33,183.55,566.82,-6255.78,-5688.95,,,,,
111,1795.44,4492.93,5301.26,501.7,276.16,-187.94,-3841.58,-32367.92,1718.65,22738.71,-6189.47,181.31,427.42,-6008.16,-5580.75,,,,,
121,1856.75,4591.92,5303.41,524.25,280.02,-192.76,-3911.28,-31858.36,1679.06,22582.57,-6543.33,183.84,855.57,-6359.49,-5503.92,,,,,
131,1820.17,4523.34,5286.06,524.05,270.47,-194.47,-3888.35,-31891.84,1727.27,22651.14,-6581.38,184.96,827.84,-6396.41,-5568.57,,,,,
141,1864.02,4514.03,5262.7,521.93,288.43,-214.82,-3892.52,-31855.98,1732.95,22628.51,-6574.75,184.18,849.25,-6390.57,-5541.32,,,,,
151,1771.01,4439.14,5236.73,510.83,265.8,-173.62,-3862.39,-31973.43,1724.17,22695.16,-6509.42,186.9,633.41,-6322.52,-5689.12,,,,,
161,1875.12,4507.21,5267.96,503.37,284.39,-203.84,-3841.73,-31690.02,1725.68,22539.58,-6665.44,184.47,967.72,-6480.97,-5513.25,,,,,
171,1873.17,4514.13,5218.46,498.07,266.45,-198.41,-3832.7,-31707.95,1705.62,22555.92,-6674.41,185.54,892.76,-6488.87,-5596.11,,,,,
181,1897.86,4486.54,5240.23,511.26,262.5,-171.96,-3875.82,-31837.51,1709.98,22527.98,-6513.91,186.78,751.06,-6327.13,-5576.07,,,,,
191,1710.32,4507.38,5207.3,511.48,297.36,-181.94,-3895.42,-31832.56,1754.88,22637.51,-6592,184.75,716.31,-6407.26,-5690.94,,,,,
201,1847.62,4372.47,5238.55,490.03,291.47,-196.74,-3933.35,-31896.86,1688.88,22737.35,-6551.78,182.56,639.41,-6369.21,-5729.8,,,,,
211,1793.92,4453.16,5260.3,514.32,280.81,-190.36,-3856.51,-31900.61,1739.17,22661.84,-6512.14,183.59,756.04,-6328.55,-5572.51,,,,,
221,1787.96,4459.9,5263.67,505.24,282.2,-213,-3887.17,-31969.03,1727.96,22598.68,-6477.19,178.04,556.42,-6299.15,-5742.73,,,,,
231,1840.5,4447.54,5211.13,501.31,298.33,-160.19,-3883.34,-32135.17,1741.52,22743.85,-6374.15,180.49,605.48,-6193.66,-5588.19,,,,,
