GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
2931,1801.52,4354.37,4902.98,494.81,256.96,-120.79,-3813.9,-29177.96,1635.19,17098.35,-5375.78,172.88,-2568.48,-5202.9,-7771.38,,,,,,,,,
2941,1878.63,4209.68,4884.1,481.07,265.99,-112.03,-3800.68,-29190.7,1601.43,17169.25,-5411.69,173.51,-2613.24,-5238.19,-7851.43,,,,,,,,,
2951,1832.98,4210.5,4923.38,479.5,268.21,-133.81,-3860.72,-29124.34,1626.09,17183.57,-5393.21,170.43,-2594.64,-5222.79,-7817.43,,,,,,,,,
2961,1840.8,4312.28,4961.66,482.78,266.66,-115.86,-3887.6,-29072.71,1610.19,17087,-5364.38,168.26,-2514.81,-5196.12,-7710.94,,,,,,,,,
2971,1802.61,4368.08,4924.46,471.8,268.73,-114.37,-3904.32,-29042.57,1632.63,17100.17,-5410.04,167.19,-2492.78,-5242.85,-7735.62,,,,,,,,,
2981,1866.97,4285.79,4964.08,480.58,270.62,-107.27,-3831.26,-29047.36,1643.5,17139.82,-5482.06,168.57,-2334.52,-5313.49,-7648.02,,,,,,,,,
2991,1811.25,4293.57,4922.56,482.88,293.99,-112.9,-3869.06,-29090.34,1663.77,17234,-5477.69,170.72,-2370.27,-5306.97,-7677.24,,,,,,,,,
3001,1914.49,4245.35,4974.09,491.63,287.8,-129.04,-3842.14,-29058.12,1607.8,17218.74,-5494.05,170.03,-2289.4,-5324.02,-7613.42,,,,,,,,,
3011,1843.01,4281.6,4962.57,492.48,274.81,-116.28,-3826.88,-29142.54,1612.88,17136.53,-5367.64,170.44,-2481.81,-5197.19,-7679.01,,,,,,,,,
3021,1789.41,4341.27,5018.84,495.1,257.6,-129.98,-3857.45,-29024.48,1658.63,17159.02,-5466.45,170.25,-2292.05,-5296.21,-7588.26,,,,,,,,,
3031,1798.9,4231.36,4982.99,479.06,278.38,-126.52,-3827.39,-28977.15,1629.7,17217.31,-5559.35,170.06,-2313.37,-5389.29,-7702.65,,,,,,,,,
