GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1751.56,4245.11,4966.24,486.87,261.86,-92.13,-4066.23,-29763.65,1653.83,17470.77,-4969.14,142.94,-3085.78,-4826.2,-7911.98,,,,,,,,,
11,1851.22,4361.67,4959.43,480.6,268.33,-63.49,-3983.49,-29393.91,1608.5,17266.65,-5188.8,160.28,-2644.49,-5028.51,-7673,,,,,,,,,
21,1809.15,4237.78,4979.8,477.82,287.6,-77.28,-3909.03,-29278.34,1636.31,17267.6,-5299.43,160.37,-2568.6,-5139.06,-7707.66,,,,,,,,,
31,1734.48,4283.49,5010.98,461.5,274.88,-116.64,-3877.62,-29163.93,1629.31,17200.84,-5375.5,163.3,-2562.71,-5212.19,-7774.91,,,,,,,,,
41,1830.52,4215.01,4953.2,476.88,265.16,-107.05,-3904.91,-29088.63,1621.57,17366.09,-5462.39,161.38,-2372.16,-5301.01,-7673.17,,,,,,,,,
51,1822.61,4218.91,4933.2,472.4,252.28,-122.59,-3877.51,-29164.8,1620.51,17188.32,-5405.18,162.79,-2656.68,-5242.4,-7899.08,,,,,,,,,
61,1790.61,4347.1,5012.91,478.38,272.18,-90.82,-3900.1,-29078.62,1660.48,17166.8,-5420.93,161.29,-2341.09,-5259.64,-7600.74,,,,,,,,,
71,1739.24,4300.77,4988.41,464.82,257.15,-130.89,-3937.65,-29110.94,1650.79,17359.03,-5544.17,164.67,-2419.29,-5379.5,-7798.79,,,,,,,,,
81,1864.79,4255.14,4983.97,473.1,292.08,-88.14,-3900.88,-28994.49,1613.25,17218.77,-5579.8,164.54,-2282.4,-5415.26,-7697.66,,,,,,,,,
91,1833.99,4276.96,4966.52,495.91,248.75,-94.94,-3886.55,-29164.17,1652.28,17247.08,-5465.95,164.69,-2424.16,-5301.26,-7725.42,,,,,,,,,
101,1799.42,4238.05,4989.94,492.6,295.14,-76.87,-3921.38,-28979.68,1658.6,17197.38,-5563.46,163.54,-2306.8,-5399.92,-7706.72,,,,,,,,,
111,1815.24,4338.59,4972.89,494.17,272.22,-128.43,-3930.34,-28932.34,1648.97,17209.18,-5567.2,165.3,-2239.85,-5401.9,-7641.74,,,,,,,,,
121,1817.86,4243.1,4941.45,467.73,252.9,-99.25,-3827.36,-29060.14,1623.22,17233.33,-5554.99,167.97,-2407.15,-5387.02,-7794.17,,,,,,,,,
131,1816.55,4181.33,4970.18,467.7,260.88,-100.26,-3846.95,-29067.02,1645.67,17268.99,-5557.85,166.05,-2402.94,-5391.8,-7794.74,,,,,,,,,
141,1814.6,4274.17,4953.06,468.75,275.69,-133.47,-3901.71,-28943.36,1637.28,17277.23,-5590.09,167.43,-2277.77,-5422.66,-7700.43,,,,,,,,,
151,1840.24,4242.65,4951.24,488.32,275.5,-99.34,-3928.94,-28982.94,1632.54,17247.87,-5568.5,167.08,-2332.86,-5401.42,-7734.28,,,,,,,,,
161,1802.95,4269.52,4984.83,480.35,247.56,-107.53,-3877.04,-29090.12,1623.06,17259.51,-5497.19,168.53,-2406.91,-5328.66,-7735.57,,,,,,,,,
171,1822.33,4225.41,4986.96,471.2,277.57,-123.28,-3901.58,-29004.44,1656.68,17256.33,-5558.49,167.28,-2332.81,-5391.21,-7724.03,,,,,,,,,
181,1818.88,4165.3,4997.47,461.9,284.83,-108.72,-3909.75,-29056.74,1634.59,17241.78,-5498.6,166.11,-2470.44,-5332.49,-7802.94,,,,,,,,,
191,1841.27,4289.1,4949.44,493.65,257.61,-90.51,-3882.18,-29050.14,1616.29,17156.49,-5481.52,165.6,-2418.99,-5315.92,-7734.91,,,,,,,,,
