GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1710.15,4433.46,5405.45,495.27,288.06,-183.06,-3984.14,-32342.97,1810.25,22596.57,-6011.39,160.11,229.05,-5851.29,-5622.24,,,,,
11,1766.31,4544.93,5329.46,511.92,292.26,-197.84,-3895.53,-32023.56,1782.45,22544.15,-6355.2,177.04,654.55,-6178.15,-5523.6,,,,,
21,1801.62,4595.66,5265.16,509.08,278.83,-175.24,-3890.03,-31897.62,1773.97,22527.21,-6476.11,182.58,788.65,-6293.53,-5504.88,,,,,
31,1839.16,4511.85,5312.92,517.24,300.52,-209.77,-3888.46,-31970.14,1743.96,22502.09,-6397.47,180.7,659.36,-6216.77,-5557.41,,,,,
41,1830.81,4442.89,5340.56,511.14,268.06,-174.7,-3914.97,-32176.78,1751.91,22654.69,-6279.21,179.1,533.6,-6100.12,-5566.51,,,,,
51,1747.87,4524.32,5277.86,523.06,267.47,-200.38,-3904.77,-32236.63,1740.64,22714.47,-6303.21,181.04,453.9,-6122.17,-5668.27,,,,,
61,1858.93,4463.13,5273.63,514.77,287.77,-201.94,-3900.59,-32292.8,1747.59,22616.97,-6188.41,179.61,367.45,-6008.8,-5641.35,,,,,
71,1813.26,4463.08,5222.38,502.88,262.16,-174.97,-3929.64,-32082.9,1758.53,22670.08,-6398.86,180.88,504.86,-6217.98,-5713.12,,,,,
81,1815.62,4457.79,5255.27,498.63,284,-194.77,-3927.5,-32100.93,1751.49,22664.37,-6397.68,180.83,503.97,-6216.85,-5712.88,,,,,
91,1732.62,4521.05,5296.89,515.1,285.07,-197.48,-3881.06,-32261.12,1772.69,22654.52,-6284.25,180.1,438.3,-6104.16,-5665.85,,,,,
101,1849.3,4483.19,5221.59,515.11,277.07,-177.1,-3883.69,-32291.42,1721.34,22675.49,-6273.79,181.66,390.88,-6092.13,-5701.26,,,,,
111,1828.15,4510.67,5251.69,506.59,265.64,-189.7,-3900.22,-31940.87,1714.23,22604.63,-6494.5,182.78,650.81,-6311.71,-5660.9,,,,,
121,1801.33,4542.55,5249.95,507.25,281,-204.24,-3974.82,-31910.32,1723.28,22597.18,-6513.18,178.26,613.18,-6334.92,-5721.75,,,,,
