GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
361,1760.81,4479.1,5247.13,511.23,270.58,-204.72,-3882.26,-31890.65,1751.46,22589.42,-6512.83,178.98,632.12,-6333.85,-5701.74,,,,,
371,1834.97,4452.67,5217.5,506.12,268.47,-183.05,-3916.55,-32026.59,1756.44,22667.78,-6425.76,180.67,577.76,-6245.1,-5667.34,,,,,
381,1795.13,4486.67,5240.46,504.69,263.97,-214.56,-3964.24,-31814.63,1701.59,22662.9,-6639.54,179.94,661.98,-6459.6,-5797.62,,,,,
391,1868.66,4448.52,5227.96,500.95,286.18,-190.63,-3878.67,-31865.32,1699.98,22595.81,-6578.27,180.89,693.44,-6397.37,-5703.93,,,,,
401,1787.43,4367.24,5245.61,510.12,279.44,-200.47,-3900.63,-31992.94,1731.96,22698.92,-6486.96,182.08,526.66,-6304.89,-5778.22,,,,,
411,1749.77,4454.36,5289.67,490.42,293.57,-203.93,-3973.87,-31825.83,1723.87,22629.8,-6564.32,177.81,627.83,-6386.51,-5758.68,,,,,
421,1832.05,4539.87,5270.1,511.91,270.88,-198.31,-3951.34,-31919.86,1723.78,22600.87,-6485.63,178,679.95,-6307.63,-5627.68,,,,,
431,1847.89,4396.32,5265.3,506.1,288.3,-199.75,-3953.51,-31904.54,1706.62,22676.4,-6543.21,180.77,629.13,-6362.44,-5733.31,,,,,
441,1813.91,4529.29,5284.55,514.06,297.56,-175.6,-3968.91,-31898.5,1724.08,22601.5,-6534.32,179.85,721.95,-6354.47,-5632.52,,,,,
451,1863.7,4437.44,5225.95,524.26,299.05,-201.14,-3930.34,-31907.81,1742.11,22617.07,-6527.96,175.17,670.28,-6352.79,-5682.51,,,,,
461,1785.33,4412.37,5243.74,512.57,279.36,-201.41,-3952.65,-31979.85,1746.07,22651.36,-6471.42,176.7,496.89,-6294.72,-5797.82,,,,,
471,1818.86,4418.93,5203.1,518.32,268.3,-196.54,-3880.15,-32031.75,1721.09,22725.02,-6529.6,181.75,565.18,-6347.85,-5782.67,,,,,
481,1793,4584.09,5228.2,521.21,305.18,-166.19,-3894.17,-32126.63,1738.96,22558.68,-6325.89,176.56,542.33,-6149.33,-5607,,,,,
491,1862.09,4474.1,5286.06,502.62,285.56,-210.7,-3876.5,-32210.22,1772.32,22719.25,-6360.83,178.81,604.58,-6182.02,-5577.45,,,,,
501,1803.41,4426.65,5246.29,497.77,271.24,-203.51,-3877.54,-32077.84,1735.58,22669.4,-6454.28,180.13,491.46,-6274.14,-5782.69,,,,,
511,1771.55,4437.17,5230.63,511.11,277.81,-215.51,-3901.43,-32042.36,1750.09,22660.92,-6432.31,182.03,479.99,-6250.28,-5770.29,,,,,
521,1812.38,4550.07,5190.13,507.24,255.52,-198.49,-3926.3,-31872.54,1721.58,22616.1,-6554.99,180.02,655.67,-6374.97,-5719.3,,,,,
531,1840.99,4428.68,5289.57,509.48,284.8,-198.78,-3950.87,-31933.57,1744.33,22600.78,-6452.69,179.99,615.41,-6272.7,-5657.29,,,,,
541,1794.18,4488.12,5262.22,507.97,287.34,-210.83,-3886.92,-31922.79,1751.97,22550.55,-6502.52,178.62,621.81,-6323.9,-5702.09,,,,,
551,1827.1,4500.87,5269.53,506.86,276.19,-188.16,-3922.93,-31834.36,1743.11,22535.86,-6557.12,179.19,714.07,-6377.93,-5663.86,,,,,
561,1807.18,4452.25,5256.3,513.45,279.98,-215.16,-3895.22,-31932.52,1713.72,22663.78,-6527.83,185.3,643.75,-6342.53,-5698.78,,,,,
571,1778.61,4463.93,5262.47,492.5,262.63,-219.6,-3920.89,-32064.38,1743.94,22612.98,-6382.85,181.17,412.18,-6201.68,-5789.5,,,,,
581,1834.24,4455.05,5250.29,500.63,244.75,-199.25,-3910.75,-31920.46,1746.22,22665.2,-6577.2,183.81,665.92,-6393.39,-5727.47,,,,,
