GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1653.72,4256,5408.76,506.87,271.14,-176.49,-4019.13,-32324.62,1788.53,22690.05,-6035.45,161.25,54.83,-5874.2,-5819.36,,,,,
11,1809.59,4285.9,5292.53,514.37,269.59,-202.18,-3896.84,-31596.6,1747.43,22506.87,-6698.95,182.1,730.64,-6516.85,-5786.2,,,,,
21,1862.21,4332.73,5275.04,504.04,275.41,-172.58,-3922.54,-31547.27,1706.77,22509.11,-6692.48,178.98,822.92,-6513.5,-5690.58,,,,,
31,1883.71,4222.63,5302.96,524.74,276.11,-205.25,-3895.99,-31503.6,1743.52,22537.51,-6801.18,184.16,886.33,-6617.02,-5730.69,,,,,
41,1827.19,4252.88,5305.17,517.2,282.25,-213.94,-3931.96,-31709.47,1708.95,22581.24,-6686.37,183.47,619.52,-6502.9,-5883.38,,,,,
51,1871.23,4218.04,5276.4,499.54,297.13,-212.39,-3871.29,-31855.42,1721.95,22470.78,-6491.58,179.57,415.98,-6312.01,-5896.04,,,,,
61,1742.75,4136.89,5279.01,500.18,276.82,-174.56,-3868.88,-31827.8,1765.75,22594.3,-6572.53,182.31,424.45,-6390.22,-5965.77,,,,,
71,1784.37,4194.59,5275.09,517.9,277.79,-164.29,-3885.68,-31898.66,1754.89,22632.36,-6563.96,180.98,488.36,-6382.98,-5894.62,,,,,
81,1819.34,4232.91,5249.28,514,269.81,-171.28,-3862.98,-31955.98,1720.87,22510.46,-6484.38,185.46,326.44,-6298.91,-5972.47,,,,,
91,1799.09,4155.25,5249.55,514.12,292.58,-185.99,-3827.09,-31998,1771.38,22783.26,-6601.23,183.61,554.15,-6417.62,-5863.47,,,,,
101,1773.66,4255.37,5259.05,511.5,287.91,-167.8,-3847.08,-31738.96,1723.59,22569.93,-6707.97,182.66,627.18,-6525.31,-5898.13,,,,,
111,1840.86,4201.76,5218.58,515.34,270.83,-139.82,-3891.7,-31705.42,1712.33,22559.72,-6702.08,189.52,582.49,-6512.57,-5930.08,,,,,
121,1816.54,4207.07,5258.85,506.41,277.22,-159.69,-3877.85,-31816.48,1749.02,22603.41,-6642.46,185.23,564.51,-6457.23,-5892.72,,,,,
131,1776.08,4242.94,5216.28,498.01,276.71,-155.75,-3844.59,-32030.62,1741.78,22686.49,-6552.24,187.24,407.32,-6364.99,-5957.67,,,,,
141,1849.15,4267.07,5262.69,515.35,278.97,-187.71,-3858.28,-31985.14,1705.22,22649.42,-6542.88,186.51,496.74,-6356.37,-5859.63,,,,,
151,1826.22,4098.25,5219.64,486.82,285.03,-166.4,-3806.71,-32029.31,1734.6,22725.93,-6539.01,187.01,374.09,-6351.99,-5977.91,,,,,
161,1810.02,4190.59,5238.06,504.91,276.04,-197.05,-3849.68,-32020.45,1746.17,22710.27,-6526.19,187.41,408.88,-6338.78,-5929.9,,,,,
171,1835.83,4223.64,5270.02,521.97,279.18,-200.01,-3853.58,-31962.92,1745.75,22690.39,-6565.31,187.12,550.28,-6378.19,-5827.92,,,,,
181,1874.22,4224.01,5210.35,506.58,275.31,-162.51,-3860.38,-32063.45,1719.91,22638.03,-6434.62,185.5,362.07,-6249.12,-5887.05,,,,,
191,1766.33,4212.12,5217.33,518.48,268.64,-164.9,-3882.86,-32008.34,1765.58,22807.48,-6589.2,186.68,499.86,-6402.52,-5902.66,,,,,
201,1833.9,4150.45,5269.81,495.49,263.61,-175.25,-3856.25,-31963.71,1742.43,22703.61,-6565.99,187.25,464.1,-6378.74,-5914.64,,,,,
211,1826.26,4191.79,5260.79,510.29,267.8,-154.85,-3877.69,-31737.94,1722.36,22604.34,-6772.26,189.83,613.15,-6582.43,-5969.28,,,,,
221,1785.7,4232.99,5285.51,505.81,302.7,-204.98,-3811.86,-31996.21,1737.42,22622.28,-6558.42,188.51,459.35,-6369.91,-5910.56,,,,,
231,1859.4,4182.17,5258.56,522.19,244.78,-214.32,-3802.91,-32090.05,1744.83,22658.01,-6466.09,190.59,362.65,-6275.49,-5912.85,,,,,
241,1752.84,4282.3,5230.67,503.38,260.87,-199.13,-3859.91,-32010.87,1761.78,22749.19,-6582.75,186.8,471.11,-6395.95,-5924.84,,,,,
251,1833.63,4232.49,5254.95,519.89,286.28,-205.19,-3857.17,-31954.86,1753.76,22605.65,-6554.22,188.13,469.44,-6366.09,-5896.65,,,,,
261,1739.49,4160.61,5274.48,497.35,272.12,-198.97,-3804.13,-31930.16,1764.05,22682.62,-6630.66,189.89,457.45,-6440.78,-5983.33,,,,,
271,1786.65,4184.17,5246.48,494.13,263.53,-195.02,-3813.12,-32147.14,1742.54,22766.68,-6476.65,188.38,328.91,-6288.28,-5959.37,,,,,
281,1739.19,4160.89,5252.89,501.55,259.8,-173.52,-3844.66,-32018.77,1743.96,22617.96,-6502.77,188.85,239.3,-6313.92,-6074.62,,,,,
291,1800.2,4207.58,5241.11,499.22,302.18,-200.37,-3828.15,-32095.77,1742.98,22716.32,-6502.4,186.48,385.28,-6315.92,-5930.64,,,,,
301,1810.57,4170.24,5276.84,502.92,283.57,-180.17,-3840.87,-32048.89,1708.08,22691.77,-6540.13,187.62,374.07,-6352.51,-5978.44,,,,,
311,1803.54,4238.54,5252.15,517.13,282.13,-198.88,-3871.83,-32005.35,1708.23,22575.99,-6463.53,188.76,301.64,-6274.77,-5973.13,,,,,
321,1825.11,4210.24,5277.88,507.76,289.67,-218.15,-3838.83,-31993.23,1756.76,22631.05,-6499.44,186.49,448.25,-6312.95,-5864.7,,,,,
331,1770.03,4186.49,5193.79,506.08,292.39,-200.37,-3930.54,-31858.94,1763.64,22603.37,-6595.17,183.06,325.94,-6412.12,-6086.18,,,,,
341,1840.1,4202.71,5219.25,508.23,261.53,-184.42,-3862.72,-31957.38,1725.49,22665.68,-6589.41,186.73,418.46,-6402.67,-5984.22,,,,,
351,1834.35,4247.35,5227.79,508.26,276.92,-210.97,-3828.27,-31907.94,1745.08,22698.33,-6649.54,187.47,590.92,-6462.07,-5871.15,,,,,
361,1766.49,4218.46,5218.98,514.45,259.31,-213.14,-3884.67,-31931.66,1726.76,22643.08,-6577.67,185.68,318.05,-6391.99,-6073.94,,,,,
371,1855.23,4205.88,5210.43,501.53,260.59,-169.72,-3849.54,-31994.38,1746.54,22663.26,-6521.39,186.45,429.82,-6334.94,-5905.12,,,,,
381,1840.65,4200.3,5206.41,510.51,270.77,-182.3,-3856.74,-32133.83,1744.53,22662.07,-6426.43,184.9,262.37,-6241.53,-5979.16,,,,,
391,1835.77,4182.15,5218.34,503.96,256.93,-184.27,-3890.88,-32146.59,1746.53,22653.35,-6427.42,183.73,175.29,-6243.69,-6068.4,,,,,
401,1831.6,4207.52,5241.25,512.27,267.9,-212.77,-3884.02,-31874.53,1697.29,22608.74,-6622,182.76,395.24,-6439.23,-6043.99,,,,,
411,1852.29,4321.47,5211.35,508.89,276.34,-186.08,-3864.35,-31643.53,1726.06,22486.03,-6750.86,188.58,688.48,-6562.28,-5873.8,,,,,
