GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1771.89,4466.66,4988.12,478.39,279.43,-103.93,-3991.3,-29599.8,1644.81,17250.01,-4980.3,144.78,-2815.72,-4835.52,-7651.23,,,,,,,,,
11,1829.86,4567.65,5006.7,473.6,274.39,-81.45,-3899.87,-29348.79,1601.94,17285.14,-5270,157.96,-2290.85,-5112.04,-7402.89,,,,,,,,,
21,1754.03,4558.71,5003.85,495.9,264.32,-114.01,-3906.95,-29116.74,1615.7,17204.97,-5410.48,166.24,-2240.22,-5244.25,-7484.47,,,,,,,,,
31,1869.77,4479.29,5003.82,480.82,278.98,-113.33,-3876.84,-29090.29,1624.59,17111.04,-5362.69,161.29,-2232.16,-5201.4,-7433.56,,,,,,,,,
41,1841.43,4497.01,4990.41,480.71,265.73,-121.18,-3892.92,-29142.74,1599.24,17173.72,-5387.61,161.64,-2308.58,-5225.97,-7534.55,,,,,,,,,
51,1770.29,4614.64,5047.65,476.21,264.78,-113.58,-3865.9,-29116.44,1611.94,17209.12,-5438.76,163.62,-2101.31,-5275.13,-7376.44,,,,,,,,,
61,1859.24,4525.11,4995.34,489.53,277.3,-109.14,-3894.74,-28937.68,1625.59,17090.18,-5474.58,163.13,-2079.26,-5311.45,-7390.71,,,,,,,,,
71,1842.53,4516.27,4987.9,469.44,250.28,-155.07,-3889.48,-28928.01,1606.11,17102.04,-5545.38,163.41,-2197.99,-5381.97,-7579.96,,,,,,,,,
81,1817.55,4585.12,4994.82,480.92,284.86,-106.79,-3906.19,-29093.94,1628.46,17094.24,-5386.08,163.93,-2220.95,-5222.15,-7443.1,,,,,,,,,
91,1803.56,4471.07,5012.61,466.65,270.98,-108.28,-3894.04,-29137.76,1629.24,17202.61,-5396.55,164.6,-2283.36,-5231.95,-7515.31,,,,,,,,,
101,1777.9,4485.7,4974.15,480.58,271.77,-98.13,-3892.61,-29378.33,1644.57,17328.07,-5251.37,165.24,-2406.34,-5086.13,-7492.47,,,,,,,,,
111,1807.89,4393.42,4983.9,474.37,283.85,-128.4,-3845.08,-29267.55,1672.04,17351.78,-5392.21,163.11,-2273.77,-5229.1,-7502.87,,,,,,,,,
121,1815.66,4515.98,5012.96,466.23,272.96,-124.69,-3916.18,-29303.1,1609.71,17244.01,-5294.49,162.54,-2406.47,-5131.95,-7538.42,,,,,,,,,
131,1802.94,4494.07,4989.81,473,258,-102.53,-3844.05,-29067.99,1617.81,17148.4,-5438.83,164.82,-2230.54,-5274,-7504.55,,,,,,,,,
141,1775.48,4556.56,5012.98,480.01,285.31,-101.49,-3916.57,-29002.59,1636.56,17190.39,-5507.85,164.42,-2083.36,-5343.43,-7426.79,,,,,,,,,
151,1782.36,4506.46,4962.99,473.39,266.26,-111.95,-3921.91,-29082.79,1623.78,17182.77,-5416.64,161.65,-2318.66,-5254.99,-7573.65,,,,,,,,,
161,1844.08,4446.79,4950.8,487.7,277.62,-100.43,-3873.98,-29157.22,1639.38,17187.73,-5320.92,164.36,-2297.55,-5156.56,-7454.1,,,,,,,,,
171,1784.85,4569.4,5019.54,477.92,270.64,-117.94,-3883.18,-29115.02,1638.84,17108.33,-5371.72,163.9,-2246.62,-5207.82,-7454.44,,,,,,,,,
181,1799.94,4536.64,5004.27,467.68,299.69,-91.69,-3914.59,-28966.79,1618.78,17017.23,-5390.7,165.05,-2228.82,-5225.65,-7454.47,,,,,,,,,
191,1844.46,4528.2,4939.77,481.08,247.35,-105.86,-3886.74,-28972.97,1589.98,17117.34,-5475.53,167.37,-2217.4,-5308.16,-7525.55,,,,,,,,,
201,1842.51,4473.94,4998.88,475.43,293.09,-114.9,-3867.49,-29115.94,1625.31,17239.67,-5431.86,165.36,-2149.5,-5266.49,-7416,,,,,,,,,
211,1830.28,4482.74,5005.57,475.95,267.98,-111.5,-3906.58,-28822.02,1597.72,16985.25,-5539.67,167.55,-2194.61,-5372.11,-7566.72,,,,,,,,,
221,1774.96,4525.22,4953.31,478.88,258.02,-107.37,-3955.69,-28892.51,1645.65,17150.86,-5546.99,164.32,-2168.64,-5382.67,-7551.31,,,,,,,,,
231,1815.35,4567.95,4957.09,479.27,276.83,-107.93,-3891.53,-28957.23,1637.01,17176.62,-5535.37,165.72,-2046.57,-5369.65,-7416.22,,,,,,,,,
241,1857.04,4540.25,4996.42,477.95,262.97,-97.42,-3874.13,-28787.27,1632.58,17055.75,-5629.64,168.16,-1935.87,-5461.47,-7397.34,,,,,,,,,
251,1812.94,4529.82,4974.93,481.65,265.1,-95.58,-3861.64,-28950.88,1654.82,17057.62,-5493.68,166.02,-2131.23,-5327.66,-7458.89,,,,,,,,,
261,1847.38,4551.35,4921.24,490.65,274.89,-122.09,-3891.06,-29003.14,1645.15,17155.45,-5509.12,167.88,-2130.18,-5341.23,-7471.41,,,,,,,,,
271,1819.92,4522.25,4985.25,478.82,283.68,-136.58,-3900.45,-28967.1,1616.26,17106.21,-5475.28,166.38,-2191.75,-5308.9,-7500.65,,,,,,,,,
281,1743.24,4536.19,4979.17,462.91,284.96,-126.44,-3886.7,-29052.91,1641.93,17143.55,-5474.97,167.68,-2274.1,-5307.29,-7581.39,,,,,,,,,
291,1833.09,4525.42,5001.4,478.86,279.92,-94.03,-3903.27,-28960.61,1606.55,17103.5,-5560.93,170.68,-2129.17,-5390.24,-7519.42,,,,,,,,,
301,1749.25,4518.46,5010.85,472.64,266,-121.81,-3870.71,-29067.23,1624.64,17126.06,-5413.09,164.91,-2291.85,-5248.19,-7540.04,,,,,,,,,
311,1790.6,4517.63,4998.09,461.11,277.72,-112.59,-3871.85,-28999.87,1636.64,17129.13,-5500.87,162.92,-2173.38,-5337.95,-7511.33,,,,,,,,,
321,1825.34,4472.25,4982.87,479.81,274.46,-91.37,-3897.19,-29120.3,1628,17176.75,-5390.78,161.43,-2269.37,-5229.34,-7498.71,,,,,,,,,
331,1809.91,4536.96,4975.73,492.98,273.94,-106.26,-3911.17,-28967.53,1612.92,17112.53,-5458.01,162.04,-2169.99,-5295.97,-7465.95,,,,,,,,,
341,1867.5,4438.38,4936.37,469.42,282.52,-121.59,-3909.73,-29045.77,1617.3,17208.58,-5487.7,161.09,-2257.02,-5326.61,-7583.63,,,,,,,,,
351,1892.01,4484.69,4926.55,473.85,267.76,-124.42,-3903.26,-28942.13,1578.58,17135.31,-5520.17,163.17,-2211.07,-5357,-7568.06,,,,,,,,,
361,1826.35,4539.91,4990.87,477.08,282.65,-102.37,-3934.12,-28976.63,1604.12,17175.64,-5534.63,167.11,-2116.51,-5367.52,-7484.03,,,,,,,,,
371,1791.17,4404.2,5034.84,473.86,278.96,-134.08,-3861.41,-28896.96,1638.86,17212.94,-5612.44,166.6,-2057.62,-5445.85,-7503.47,,,,,,,,,
381,1845.99,4457.1,4971.8,490.02,276.16,-117.09,-3921.51,-28882.86,1632.36,17037.45,-5543.36,164.72,-2210.58,-5378.64,-7589.22,,,,,,,,,
391,1787.23,4489.35,4931.66,468.88,274.29,-114.88,-3878.1,-28832.35,1612.72,17158.57,-5631.67,168.67,-2102.63,-5463,-7565.63,,,,,,,,,
401,1844.97,4516.06,4974.46,491.65,262.35,-142.83,-3862.27,-28851.51,1603.56,17077.86,-5607.02,172.03,-2085.7,-5434.99,-7520.68,,,,,,,,,
411,1793.07,4494.76,4958.64,475.16,275.08,-114.27,-3892.65,-28879.04,1624.18,17131.69,-5611.36,169.35,-2133.37,-5442.01,-7575.38,,,,,,,,,
421,1825.72,4511.8,4932.18,484.06,271.53,-127.32,-3886.29,-28831.45,1631.37,17119.03,-5617.4,168,-2069.38,-5449.4,-7518.78,,,,,,,,,
431,1836.75,4514.96,4930.12,477.87,253.94,-125.31,-3847.4,-28753.58,1576.33,17026.88,-5652.13,170.74,-2109.45,-5481.39,-7590.84,,,,,,,,,
441,1858.49,4517.64,5014.3,496.33,288.25,-123.29,-3842.61,-28739.5,1592.48,17029.79,-5689.56,172.22,-1908.12,-5517.34,-7425.46,,,,,,,,,
451,1839.51,4508.88,5014.95,483.67,292.25,-128.36,-3862.58,-28978.11,1626.57,17226.11,-5553.11,168.42,-1977.11,-5384.69,-7361.81,,,,,,,,,
461,1805.03,4477.58,4958.29,492.55,277.81,-112.91,-3896.22,-28997.63,1616.21,17150.49,-5511.28,168.21,-2228.81,-5343.07,-7571.88,,,,,,,,,
471,1808.79,4472.08,4962.77,472.66,268.08,-106.5,-3882.68,-28929.39,1630.47,17130.15,-5530.4,167.77,-2173.57,-5362.63,-7536.2,,,,,,,,,
481,1856.79,4481.37,4946.04,479.44,258.64,-125.75,-3906.86,-28903,1564.21,17090.26,-5515.88,167.97,-2258.87,-5347.91,-7606.78,,,,,,,,,
491,1822.28,4563.35,4996.04,497.03,260.13,-115.55,-3862.89,-28980.54,1616.87,17142.62,-5531.57,168.06,-2060.66,-5363.51,-7424.18,,,,,,,,,
501,1860.11,4499.25,4976.96,469.44,269.53,-108.94,-3858.55,-28994.15,1631.18,17154.32,-5522.46,167.16,-2100.84,-5355.3,-7456.14,,,,,,,,,
511,1784.24,4484.47,4968.53,478.2,279.96,-125.03,-3880.41,-29067.65,1627.69,17191.6,-5431.42,167.16,-2258.4,-5264.27,-7522.67,,,,,,,,,
521,1809.55,4544.21,5011.26,496.98,265.93,-124.86,-3854.01,-29081.1,1661.85,17129.3,-5393.95,165.46,-2140.88,-5228.49,-7369.38,,,,,,,,,
531,1867.47,4499.39,4963.67,484.42,270.05,-103.23,-3892.87,-28970.04,1628.75,17133.43,-5487.7,164.24,-2118.96,-5323.45,-7442.41,,,,,,,,,
541,1809.95,4521.69,4957.31,479.62,251.11,-130.69,-3884.56,-29098.06,1647.3,17216.29,-5446.51,164.51,-2230.06,-5282,-7512.06,,,,,,,,,
551,1754.35,4483.45,4992.03,473.42,273.11,-132.1,-3880.43,-28878.04,1653.84,17238.15,-5622.29,169.6,-2022.22,-5452.69,-7474.9,,,,,,,,,
561,1845.8,4560.85,4986.19,481.33,270.35,-123.85,-3901.86,-28906.69,1614.22,17124.8,-5545.77,169.42,-2048.87,-5376.36,-7425.22,,,,,,,,,
571,1854.76,4457.11,4998.78,473.25,266.42,-101.09,-3901.75,-28715.56,1619.52,17004.38,-5663.79,171.16,-2044.18,-5492.64,-7536.82,,,,,,,,,
