GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1718.96,4398.39,4990.36,476.69,287.65,-90.01,-3991.01,-29604.85,1669.16,17429.38,-5084.1,144.47,-2715.27,-4939.63,-7654.9,,,,,,,,,
11,1818.98,4500.31,4949.1,481.63,267.71,-83.24,-3870.95,-29200.15,1590.74,17275.17,-5388.21,159.53,-2270.7,-5228.68,-7499.38,,,,,,,,,
21,1748.96,4506.38,5027.1,472.46,247.04,-119.02,-3856.4,-28912.84,1614.16,17192.96,-5612.3,168.16,-2079.2,-5444.14,-7523.34,,,,,,,,,
31,1817.71,4475.39,4975.17,458.57,282.65,-100.55,-3848.32,-29074.62,1640.25,17255.17,-5479.64,164.91,-2118.57,-5314.73,-7433.3,,,,,,,,,
41,1885.7,4495.89,4990.31,472.99,264.54,-118.17,-3839.03,-28859.15,1590.66,17236.37,-5718.22,171.92,-1879.9,-5546.3,-7426.2,,,,,,,,,
51,1823.76,4450.01,5021.18,496.83,268.1,-112.43,-3838.21,-28980.6,1645.29,17225.4,-5631.86,171.94,-2000.66,-5459.93,-7460.58,,,,,,,,,
61,1819.05,4447.5,5000.13,483.32,280,-111.05,-3831.71,-28767.9,1635.5,17187.54,-5747.68,169.59,-1857.63,-5578.08,-7435.71,,,,,,,,,
71,1814.32,4487.05,5035.22,483.31,277.63,-121.63,-3895.55,-28927.95,1620.91,17221.98,-5612.58,167.16,-2004.71,-5445.42,-7450.14,,,,,,,,,
81,1772.61,4505.06,5012.72,485.57,282.42,-98.77,-3854.21,-29032.42,1645.12,17263.92,-5567.74,163.32,-2017.98,-5404.41,-7422.39,,,,,,,,,
91,1837.55,4521.35,4999.84,495.28,250.2,-126.94,-3856.95,-28918.44,1580.65,17220.93,-5605.1,170.17,-1996.51,-5434.94,-7431.45,,,,,,,,,
101,1850.25,4454.27,4996.02,458.56,259.59,-102.33,-3863.76,-28960.7,1591.92,17139.36,-5542.8,166.93,-2176.81,-5375.87,-7552.68,,,,,,,,,
111,1850.86,4413.63,4989.89,481.12,269.25,-98.77,-3899.28,-28913.83,1594.5,17211.42,-5583.73,167.71,-2101.21,-5416.02,-7517.23,,,,,,,,,
121,1804.09,4441.63,5034.8,469.91,275.57,-95.48,-3879.08,-28843.92,1595.67,17200.36,-5691.85,169.45,-1996.46,-5522.4,-7518.86,,,,,,,,,
131,1833.45,4514.21,5009.66,482.97,269.98,-123.48,-3892.37,-28804.96,1632.71,17268.22,-5715.21,170.67,-1809.61,-5544.54,-7354.15,,,,,,,,,
141,1853.56,4520.37,4994.22,476.27,269.05,-119.98,-3870.96,-28955.17,1619.73,17133.81,-5532.17,167.17,-2079.08,-5365,-7444.08,,,,,,,,,
151,1836.13,4437.43,5015.13,476.14,304.49,-129.26,-3859.85,-29035.19,1605.69,17242.15,-5516.54,168.75,-2107.13,-5347.79,-7454.92,,,,,,,,,
161,1810.62,4482.64,5038.23,483.78,266.65,-135.15,-3857.79,-28867.59,1612.92,17158.52,-5635.91,168.39,-2007.15,-5467.51,-7474.67,,,,,,,,,
171,1843.89,4415.11,5045.51,470.28,286.12,-128.17,-3837.77,-28847.2,1615.23,17144.57,-5628.22,167.92,-1992.42,-5460.3,-7452.72,,,,,,,,,
181,1842.41,4468.75,4948.08,481.3,276.09,-122.5,-3808.01,-28831.84,1596.38,17153.21,-5642.23,172.11,-1996.12,-5470.13,-7466.25,,,,,,,,,
191,1815.5,4438.92,4995.44,478.28,250.33,-104.3,-3851.59,-28708.77,1618.58,17195.69,-5769.74,172.26,-1871.92,-5597.48,-7469.4,,,,,,,,,
201,1884.9,4553.14,4977.47,485.06,272.83,-113.22,-3844.27,-28554.17,1646.27,17011.05,-5836.21,172.52,-1680.92,-5663.68,-7344.6,,,,,,,,,
211,1866.41,4509.02,4983.07,480.53,282.12,-114.85,-3851.45,-28619.02,1643.37,17033.47,-5776.11,172.68,-1787.32,-5603.43,-7390.75,,,,,,,,,
221,1773.2,4438.97,5014.16,462.26,260.33,-104.95,-3848.04,-28548.21,1637.48,17152.83,-5877.19,171.86,-1761.97,-5705.33,-7467.3,,,,,,,,,
231,1770.33,4468.47,5015.13,480.32,262.6,-113.32,-3845.27,-28659.79,1642.55,17299.04,-5871.27,171.09,-1679.93,-5700.18,-7380.11,,,,,,,,,
241,1753.81,4514.57,4937.35,495.81,274.7,-120.28,-3819.9,-28930.49,1608.5,17238.24,-5658.08,173.54,-2047.69,-5484.55,-7532.24,,,,,,,,,
251,1803.98,4498.7,5044.04,480.27,256.47,-133.75,-3794.13,-28931.79,1634.31,17165.3,-5563.67,174.59,-1976.61,-5389.08,-7365.69,,,,,,,,,
261,1816.06,4403.99,4999.54,475.27,281.75,-136.22,-3862.36,-28939.53,1664.9,17222.91,-5586.99,169.74,-2073.67,-5417.24,-7490.92,,,,,,,,,
271,1800.26,4460.79,4965.78,476.01,251.88,-117.87,-3827.4,-28814.71,1667.42,17126.34,-5691.33,169.71,-2011.49,-5521.62,-7533.11,,,,,,,,,
281,1825.66,4469.77,4956.86,479.2,278.36,-100.52,-3792.5,-28913.58,1624.14,17238.85,-5651.6,175.33,-1933.75,-5476.28,-7410.02,,,,,,,,,
291,1834.88,4511.51,4990.88,471.74,250.64,-117.66,-3806.25,-28867.04,1630.53,17099.7,-5597.94,173.21,-2001.07,-5424.74,-7425.81,,,,,,,,,
301,1835.88,4528.05,4973.76,468.49,283.09,-109,-3778.75,-28860.77,1602.42,17162.63,-5651.05,173.78,-1894.18,-5477.27,-7371.45,,,,,,,,,
311,1806.08,4483.17,4968.42,473.77,268.42,-117.71,-3800.51,-28743.91,1622.79,17088.93,-5754.6,175,-1950.55,-5579.59,-7530.14,,,,,,,,,
321,1809.82,4417.41,4989.77,466.76,286.77,-120.95,-3822.12,-28823.08,1608.89,17248.96,-5741.89,177.97,-1937.77,-5563.91,-7501.68,,,,,,,,,
331,1832.93,4535.04,4992.3,476.99,273.49,-111.31,-3822.92,-28931.18,1619.48,17095.72,-5573.48,169.16,-2039.45,-5404.32,-7443.77,,,,,,,,,
341,1844.3,4557.68,4951.33,485.98,270.4,-134.1,-3819.83,-28952.91,1623.81,17244.14,-5606.01,175.68,-1929.2,-5430.33,-7359.54,,,,,,,,,
351,1795.2,4494.6,4998.34,475.39,280.79,-119.03,-3816.35,-28981.59,1606.35,17166.39,-5559.35,169.46,-2099.91,-5389.89,-7489.81,,,,,,,,,
361,1737.95,4452.9,5007.55,481.36,281.26,-107.68,-3803.69,-29066.77,1617.45,17152.53,-5460.35,173.19,-2247.15,-5287.17,-7534.31,,,,,,,,,
371,1804.72,4584.34,4986.13,473.27,272.82,-144.53,-3848.66,-29024.43,1622.33,17206.44,-5512.14,170.44,-2067.55,-5341.7,-7409.25,,,,,,,,,
381,1757.17,4468.1,4980.39,475.13,275.44,-129.63,-3849.83,-28955.89,1630.17,17236.29,-5607.18,168.23,-2112.66,-5438.95,-7551.61,,,,,,,,,
391,1760.73,4397.08,4916.59,464,268.11,-114.83,-3842.21,-28920.88,1623.05,17211.29,-5631.15,172.12,-2237.07,-5459.03,-7696.1,,,,,,,,,
401,1783.66,4473.09,4982.58,451.66,266.19,-151.64,-3830.02,-28939.55,1595.53,17118.18,-5557.91,168.85,-2250.33,-5389.06,-7639.39,,,,,,,,,
411,1843.14,4483.1,4973.6,496.79,269.36,-125.17,-3845.12,-28873.27,1632.84,17118.37,-5628.79,169.77,-2026.35,-5459.02,-7485.37,,,,,,,,,
421,1800.27,4503.33,4984.24,463.35,271.53,-102.6,-3823.27,-28866.67,1598.81,17174.49,-5683.57,174.71,-1996.52,-5508.86,-7505.38,,,,,,,,,
431,1829.88,4433.36,4986.43,477.35,277.67,-132.7,-3852.68,-29052.14,1632.1,17249.04,-5513.94,170.3,-2151.68,-5343.63,-7495.31,,,,,,,,,
441,1787.15,4550.55,4997.62,472.51,275.52,-145.21,-3851.97,-28891.99,1638.16,17134.96,-5608.47,171.23,-2032.71,-5437.23,-7469.95,,,,,,,,,
451,1838.45,4499.09,5001.12,478.61,271.33,-119.93,-3873.06,-29021.05,1609.57,17303.26,-5606.19,168.58,-2012.6,-5437.61,-7450.21,,,,,,,,,
461,1826.08,4478.65,5014.35,477.05,278.39,-95.57,-3824.78,-28969.23,1597.94,17183.94,-5585.81,173.34,-2033.18,-5412.48,-7445.65,,,,,,,,,
471,1832.27,4465.75,4960.73,477.35,272.61,-130.22,-3896.05,-28794.86,1585.28,17149.78,-5654.69,167.06,-2077.36,-5487.63,-7564.99,,,,,,,,,
481,1796.71,4458.12,4974.85,478.56,262.36,-127.77,-3824.22,-28830.68,1616.19,17231.62,-5710.27,176.09,-1964.25,-5534.18,-7498.43,,,,,,,,,
