GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1796.45,4363.83,5414.76,494.51,267.74,-172.58,-3950.74,-32456.06,1769.62,22672.71,-5944.21,159.8,200.25,-5784.42,-5584.17,,,,,
11,1781.61,4565.36,5265.79,511.18,283.85,-182.17,-3876.02,-32052.65,1740.3,22699.61,-6456.85,185.67,736.87,-6271.18,-5534.3,,,,,
21,1810.78,4489.33,5306.8,527.88,283.75,-194.15,-3880.96,-32128.62,1723.93,22713.87,-6421.81,184.06,652.59,-6237.75,-5585.16,,,,,
31,1809.25,4552.36,5314.96,516.34,261.51,-180.88,-3928.74,-31936.13,1731.94,22621.33,-6493.94,181.38,761.94,-6312.56,-5550.62,,,,,
41,1802.35,4497.78,5275.3,510.4,281.53,-184.1,-3903.81,-31782.77,1730.64,22703.87,-6717.29,183.84,931.19,-6533.45,-5602.25,,,,,
51,1863.95,4365.64,5310.03,504.17,266.39,-193.36,-3898.49,-31809.28,1712.84,22623.84,-6647.36,182.48,745.74,-6464.88,-5719.14,,,,,
61,1831.88,4456.27,5242.53,499.48,294.83,-210.79,-3875.64,-31847.82,1759.76,22671.59,-6666.23,185.13,822.09,-6481.1,-5659.01,,,,,
71,1761.69,4460.63,5274.24,505.98,277.41,-196.07,-3839.31,-31893.42,1718.71,22659.11,-6613.35,186.17,728.96,-6427.19,-5698.22,,,,,
81,1829.17,4362.71,5317.43,497.45,273.46,-226.83,-3928.42,-31895.64,1702.89,22726.03,-6573.1,178.9,658.25,-6394.2,-5735.94,,,,,
91,1880.25,4541.97,5239.57,514.9,282.41,-170.47,-3846.66,-32019.11,1727.16,22701.45,-6521.86,182.77,851.45,-6339.09,-5487.64,,,,,
101,1817.69,4445.14,5268.85,512.73,285.92,-201.59,-3888.82,-31961.92,1739.13,22756.53,-6582.47,183.01,773.66,-6399.46,-5625.8,,,,,
111,1731,4377.62,5288.45,489.38,274.76,-184.37,-3889.09,-31883.19,1749.77,22733.21,-6655.37,182.79,687.55,-6472.58,-5785.03,,,,,
121,1818.54,4450.79,5206.43,510.66,289.8,-189.15,-3893.04,-32100.69,1733.71,22665.79,-6377.14,182.23,492.83,-6194.9,-5702.07,,,,,
131,1809.24,4457.38,5264.9,518.46,270.15,-190.24,-3874.36,-32133.81,1726.78,22728.94,-6364.34,180.15,577.45,-6184.19,-5606.74,,,,,
141,1830.1,4438.01,5257.91,505.25,277.07,-191.13,-3892.88,-31999.84,1744.37,22846.27,-6589.33,181.13,815.13,-6408.2,-5593.08,,,,,
151,1823.55,4444.85,5267.88,510.32,280.4,-197.88,-3848.02,-32173.76,1720.53,22769.3,-6449.76,183.39,597.16,-6266.37,-5669.2,,,,,
161,1782.2,4358.22,5303.72,516.25,269.64,-178.18,-3945.73,-31982.03,1719.04,22807.96,-6544.67,181.62,651.09,-6363.05,-5711.96,,,,,
171,1865.35,4471.95,5243.09,513.09,260.2,-179.39,-3947.75,-32114.32,1733.7,22704.71,-6392.41,181.55,550.64,-6210.86,-5660.22,,,,,
181,1836.3,4410.85,5233.49,529.19,273.15,-192.68,-3868.6,-32046.94,1757.77,22790.44,-6535.6,182.68,722.96,-6352.92,-5629.95,,,,,
191,1862.48,4472.04,5243.78,510.16,271.39,-189.94,-3865.75,-32034.04,1729.69,22596.77,-6453.89,183.76,596.57,-6270.13,-5673.56,,,,,
201,1838.17,4505.96,5260.45,504.46,268.95,-202.12,-3889.81,-31972.87,1752.83,22577.03,-6509.41,180.02,643.04,-6329.4,-5686.35,,,,,
211,1836.17,4415.15,5246.52,509.03,268.36,-207.83,-3854.1,-32011.69,1760.03,22639.94,-6465.19,183.33,601.58,-6281.87,-5680.28,,,,,
221,1812.05,4482.69,5240.52,513.01,267.93,-189.59,-3869.19,-31921.49,1756.11,22645,-6551.4,181.51,737.06,-6369.89,-5632.83,,,,,
231,1751.94,4493.44,5283.57,513.17,265.33,-194.87,-3928.97,-32044.49,1744.27,22636.17,-6422.22,180.63,519.54,-6241.59,-5722.04,,,,,
241,1826.76,4426.9,5232.19,513.82,289.11,-203.29,-3883.56,-32144.87,1726.06,22586.98,-6308.85,182.19,370.11,-6126.66,-5756.55,,,,,
251,1832.81,4488.32,5252.63,515.25,273.38,-176.05,-3870.48,-31960.82,1758.34,22670.16,-6519.63,183.38,783.55,-6336.25,-5552.7,,,,,
261,1780.46,4417.07,5240.5,507.1,274.4,-179.4,-3889.89,-32002.83,1771.83,22683.98,-6499.3,180.31,603.23,-6318.99,-5715.75,,,,,
271,1813.51,4430.76,5260.23,513,275.97,-184.18,-3895.3,-31983.62,1759.74,22687.96,-6527.08,183.5,678.08,-6343.58,-5665.5,,,,,
281,1800.58,4308.11,5292.51,506.4,274.94,-219.61,-3870.05,-31928.08,1726.82,22705.32,-6620,186.88,596.93,-6433.12,-5836.19,,,,,
291,1819.57,4349.48,5303.05,514.11,271.18,-183.81,-3912.4,-32170.91,1722.55,22718.03,-6354.48,178.9,430.84,-6175.58,-5744.73,,,,,
301,1798.46,4524.2,5240.57,513.09,270.78,-161.32,-3905.2,-32078.06,1727.85,22652.55,-6389.99,181.77,582.93,-6208.22,-5625.29,,,,,
311,1779.68,4453.6,5256.94,515.77,288.6,-188.84,-3913.05,-31943.27,1749.49,22713.04,-6515.91,176.77,711.96,-6339.14,-5627.18,,,,,
321,1753.08,4458.75,5275.99,510.9,272.54,-175.34,-3890.1,-31880.45,1720.36,22605.44,-6510.26,181.89,651.16,-6328.37,-5677.2,,,,,
331,1799.14,4512.74,5253.04,507.74,284.64,-176.09,-3888.56,-31897.1,1695.26,22547.66,-6493.65,184.95,638.47,-6308.7,-5670.24,,,,,
341,1809.1,4392.04,5288.59,499.5,273.6,-184.97,-3886.67,-31818.94,1731.25,22585.87,-6580.25,182.15,689.36,-6398.1,-5708.74,,,,,
351,1802.36,4443.09,5281.81,497.01,272.9,-197.79,-3875.4,-31867.89,1741.27,22655.43,-6580.9,182.57,752.78,-6398.34,-5645.55,,,,,
361,1810.2,4396.11,5233.04,508.57,255.98,-201.62,-3877.41,-31907.08,1725.29,22656.79,-6554.87,180.49,599.88,-6374.38,-5774.5,,,,,
371,1846.82,4468.88,5270.43,520.29,254.03,-207.73,-3914.76,-31904.96,1710.05,22664.28,-6547.5,180.64,707.32,-6366.87,-5659.55,,,,,
