GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1804.71,4246.29,5363.53,502.08,282.27,-161.87,-3989.55,-32423.85,1759.74,22725.62,-5982.42,160.73,108.96,-5821.69,-5712.72,,,,,
11,1777.52,4219.13,5294.42,513.99,263.49,-127.46,-3941.97,-31909.8,1745.83,22736,-6494.07,179.32,571.15,-6314.75,-5743.59,,,,,
21,1805.8,4215.1,5302.67,502.51,299.66,-181.79,-3894.79,-32132.9,1740.6,22748.46,-6418.43,179.84,405.31,-6238.58,-5833.27,,,,,
31,1827.86,4276.35,5250.18,523.14,274.65,-177.55,-3879.87,-32249.82,1764.5,22768.77,-6354.69,179.27,378.2,-6175.43,-5797.23,,,,,
41,1802.77,4275.79,5252.78,494.49,290.43,-173.02,-3987.86,-32220.31,1761.64,22796.15,-6316.31,173.45,292.87,-6142.86,-5849.99,,,,,
51,1854.29,4285.61,5296.07,519.24,249.25,-177.25,-3935.01,-32113.28,1759.27,22599.33,-6274.52,177.84,337.53,-6096.68,-5759.16,,,,,
61,1833.46,4228.95,5293.04,521.35,267.33,-167.48,-3922.38,-32021.4,1743.57,22699.46,-6467,176.91,475.91,-6290.09,-5814.18,,,,,
71,1803.41,4142.93,5257.23,494.8,260.44,-188.01,-3927.94,-32133.64,1743.84,22624.99,-6313.63,177.25,78.05,-6136.38,-6058.33,,,,,
81,1848.18,4318.09,5286.75,507.94,286.3,-184.07,-3949.55,-32200.53,1767.26,22635.74,-6239.17,176.29,316.12,-6062.88,-5746.76,,,,,
91,1804.17,4366.43,5269.62,521.76,256.17,-197.89,-3909.38,-32261.8,1756.86,22695.49,-6269.6,176.93,301.44,-6092.66,-5791.22,,,,,
101,1813.18,4293.65,5248.19,514.82,272.33,-207.22,-3954.65,-32116.25,1756.42,22762.83,-6429.82,181.02,383.3,-6248.8,-5865.49,,,,,
111,1788.4,4227.78,5275.81,519.45,271.75,-187.49,-3909.07,-32032.27,1772.15,22789.47,-6500.18,175.76,515.99,-6324.42,-5808.43,,,,,
121,1764.57,4307.4,5229.39,520.72,278,-183.91,-3920.93,-31965.39,1739.16,22695.3,-6496.3,182.64,464.3,-6313.67,-5849.36,,,,,
131,1827.8,4211.92,5212.96,511.5,287.96,-166.67,-3930.57,-32061.15,1739.54,22761.51,-6411.26,176.54,394.8,-6234.73,-5839.93,,,,,
141,1803.99,4283.68,5244.89,514.21,285.86,-209.22,-3910.56,-31909.1,1730.21,22692.23,-6526.68,177.57,526.19,-6349.11,-5822.91,,,,,
151,1829.58,4264.46,5265.4,505.12,264.9,-210.28,-3911.22,-31867.6,1744.9,22648.82,-6574.94,182.64,534.07,-6392.3,-5858.23,,,,,
161,1837.05,4284.54,5204.14,517.66,273.04,-168.97,-3937.61,-31863.51,1744.31,22609.48,-6538.9,178.19,500.13,-6360.72,-5860.59,,,,,
171,1798.61,4183.68,5232.36,493.35,263.21,-174.25,-3922.82,-32078.46,1774.02,22664.38,-6366.33,174.28,234.08,-6192.05,-5957.98,,,,,
181,1823.88,4327.32,5254.52,508.29,271.64,-191.48,-3962.48,-32037.16,1740.42,22664.97,-6429.3,178.49,399.92,-6250.81,-5850.89,,,,,
191,1775.58,4268.99,5261.19,505.06,267.4,-191.8,-3947.01,-32138.78,1752.9,22755.01,-6368.97,178.85,308.53,-6190.13,-5881.59,,,,,
201,1773.55,4278.77,5302.5,514.76,270.35,-204.01,-3945.46,-31845.13,1789.03,22628.5,-6527.99,178.96,562.86,-6349.03,-5786.18,,,,,
211,1773.92,4235.79,5264.12,502.68,279.91,-199.25,-3938.14,-31839.85,1741.94,22692.46,-6625.66,182.73,513.57,-6442.93,-5929.35,,,,,
221,1872.05,4304.68,5192.87,517.42,265.64,-191.09,-3940.97,-31954.17,1697.59,22751.89,-6519.71,181.67,515.92,-6338.05,-5822.13,,,,,
231,1828.18,4185.42,5256.01,493.05,287.54,-200.51,-3893.89,-31954.24,1751.91,22634.4,-6481.76,179.93,387.87,-6301.84,-5913.96,,,,,
241,1806.78,4228.44,5277.07,510.16,276.43,-208.86,-3958.11,-32105.53,1724.28,22774.09,-6404.11,175.49,324.75,-6228.62,-5903.87,,,,,
251,1811.16,4242.27,5264.32,518.45,275.16,-196.48,-3938.02,-32083,1765.29,22680.22,-6379.67,176.8,339.36,-6202.87,-5863.51,,,,,
261,1770.77,4240.03,5281.24,512.84,277.19,-194.71,-3918.79,-32170.87,1775.35,22741.35,-6319.85,174.37,314.4,-6145.48,-5831.08,,,,,
271,1822.23,4212.93,5198.47,497.7,264.64,-196.29,-3868.12,-32152.47,1773.03,22646.18,-6349.78,175.48,198.31,-6174.29,-5975.99,,,,,
281,1820.12,4261.6,5282.4,525.21,283.92,-184.99,-3994.11,-31998.6,1734.92,22719.71,-6459.49,178.36,450.17,-6281.13,-5830.96,,,,,
291,1889.73,4157.31,5297.71,509.51,261,-162.85,-3891.62,-32070.54,1725.78,22704.6,-6473.22,181.89,420.64,-6291.32,-5870.68,,,,,
301,1783,4238.52,5264.96,502.8,271.44,-144.43,-3881.46,-32064.05,1772.78,22682.88,-6436.56,179.33,426.46,-6257.23,-5830.78,,,,,
311,1796.93,4299.95,5210.13,516.69,276.83,-178.64,-3892.76,-32123.03,1775.48,22662.43,-6414.42,184.51,344,-6229.92,-5885.92,,,,,
321,1786.55,4239.95,5221.97,511.31,275.91,-192.97,-3974.74,-32276.44,1745.07,22723.71,-6214.58,174.08,60.32,-6040.5,-5980.18,,,,,
331,1788.08,4200.98,5237.65,484.22,255.58,-172,-3939.52,-32208.05,1751.83,22753.64,-6324.94,177.89,152.39,-6147.05,-5994.66,,,,,
341,1827.82,4296.6,5212.4,507.43,274.06,-173.35,-3939.35,-32034.18,1726.58,22595.35,-6385.05,179.17,293.36,-6205.88,-5912.52,,,,,
351,1825.85,4222.98,5238.86,509.79,273.79,-172.79,-3897.17,-32158.94,1725.65,22612.4,-6337.65,177.6,180.43,-6160.05,-5979.62,,,,,
361,1842.63,4214.8,5231.93,505.9,270.99,-170.58,-3861.49,-32350.56,1750.25,22598.54,-6161.42,178.5,32.42,-5982.92,-5950.5,,,,,
371,1834.68,4215.34,5283.18,521.54,286.28,-195.71,-3874.78,-32112.55,1758.98,22703.38,-6400.81,184.3,420.33,-6216.52,-5796.18,,,,,
381,1814.56,4271.39,5212.83,500.43,261.36,-175.07,-3868.37,-31919.81,1761.24,22554.25,-6430.19,183.65,412.81,-6246.54,-5833.73,,,,,
391,1815.47,4231.37,5253.7,525.2,281.14,-187.67,-3818.66,-32011.32,1753.52,22582.06,-6453.24,192.71,424.81,-6260.52,-5835.71,,,,,
401,1833.4,4263.1,5217.99,520.19,287.45,-193.05,-3909.01,-32033.57,1727.39,22610.13,-6378.31,181.79,324.03,-6196.52,-5872.49,,,,,
411,1842.08,4174.4,5203.39,502.41,278.26,-177.9,-3911.31,-32065.51,1707.97,22742.07,-6446.54,183.24,295.86,-6263.3,-5967.44,,,,,
421,1784.9,4221.56,5230,527.03,273.46,-202.81,-3891.68,-31960.17,1766.29,22574.96,-6426.6,181.9,323.53,-6244.71,-5921.17,,,,,
431,1790.42,4313.69,5211.61,510.1,282.15,-206.49,-3866.53,-32224.13,1709.45,22762.57,-6318.52,183.46,282.85,-6135.07,-5852.22,,,,,
441,1845.39,4267.46,5206.09,496.71,282.29,-185.82,-3870.62,-31907.23,1719.52,22567.88,-6472.63,183.42,421.66,-6289.21,-5867.55,,,,,
451,1829.17,4186.82,5223.63,497.42,275.5,-176.22,-3923.61,-32105.17,1763.38,22785.9,-6409.5,183.52,356.82,-6225.98,-5869.15,,,,,
461,1808.69,4164.45,5254.98,503.69,283.98,-184.09,-3845.09,-32073.44,1759.86,22802.74,-6531,186.22,475.78,-6344.78,-5869,,,,,
