GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1735.75,4457.01,5342.54,512.01,282.6,-159.93,-3954.82,-32516.78,1732.91,22684.24,-5897.72,161.53,115.53,-5736.18,-5620.65,,,,,
11,1799.06,4494.97,5304.88,501.83,294.84,-190.86,-3874.57,-32020.07,1715.31,22660.61,-6466.34,186.4,686.01,-6279.94,-5593.94,,,,,
21,1781.17,4432.85,5320.02,522.92,270.95,-199.17,-3874.34,-32117.79,1739.55,22690.21,-6396.6,184.09,566.38,-6212.51,-5646.12,,,,,
31,1805.89,4543.37,5279.99,517.31,277.48,-169.24,-3880.67,-31794.46,1736.3,22517.37,-6565.11,187.86,833.34,-6377.25,-5543.91,,,,,
41,1781.9,4586.67,5321.32,529.03,279.46,-187.93,-3910.54,-31729.05,1757.57,22620.34,-6670.17,183.12,1048.77,-6487.04,-5438.28,,,,,
51,1822.59,4509.48,5251.7,511.99,276.95,-162.68,-3879.22,-31918.56,1685.02,22567.16,-6482.17,182.8,664.43,-6299.37,-5634.93,,,,,
61,1813.49,4571.89,5261.18,518.31,263.56,-171.15,-3878.56,-31892.53,1738.21,22652.15,-6577.45,183.04,876.53,-6394.4,-5517.87,,,,,
71,1845.61,4478.08,5274.33,514.37,282.44,-183.4,-3912.2,-32017.47,1702.79,22722.4,-6518.81,179.59,706.95,-6339.22,-5632.27,,,,,
81,1745.05,4480.17,5240.25,506.58,276.71,-166.98,-3903.45,-32040.48,1737.19,22674.96,-6420.99,178.11,550,-6242.88,-5692.88,,,,,
91,1798.46,4559.61,5272.61,525.36,264.48,-201.67,-3893.1,-32101.71,1737.09,22667.53,-6415.5,177.49,628.66,-6238.01,-5609.35,,,,,
101,1780.89,4518.59,5301.24,505.6,254.63,-186.09,-3868.18,-32088.26,1685.03,22665.88,-6360.91,183.4,569.34,-6177.51,-5608.17,,,,,
111,1823,4475.89,5269.1,496.89,285.06,-196.92,-3825.27,-32077.58,1707.65,22652.75,-6415.5,182.21,610.57,-6233.29,-5622.71,,,,,
121,1764.6,4453.59,5305.02,494.74,284.89,-205.41,-3883.93,-32010.79,1733.14,22601.8,-6416.36,181.06,537.66,-6235.31,-5697.65,,,,,
131,1756.78,4491.27,5274.73,503.74,290.84,-180.86,-3899.07,-32036.01,1747.99,22659.36,-6456.07,177.2,608.77,-6278.87,-5670.1,,,,,
141,1804.74,4450.8,5314.32,505.08,260.65,-179.21,-3941.71,-31830.04,1777.89,22590.76,-6547.15,181.31,753.29,-6365.84,-5612.55,,,,,
151,1813,4371.64,5260.03,510.68,279.83,-164.4,-3942.13,-31786.07,1739.15,22584.32,-6615.09,180.94,666.05,-6434.15,-5768.09,,,,,
161,1873.58,4489.68,5295.89,526.7,288.31,-192.07,-3928.93,-31898.19,1724.63,22635.01,-6532.08,177.16,814.62,-6354.92,-5540.3,,,,,
171,1801.36,4470.42,5253.92,506.04,253.17,-154.03,-3916.76,-31942.18,1699.31,22668.11,-6489.66,175.62,639.35,-6314.04,-5674.7,,,,,
181,1795.51,4545.82,5233.81,515.24,285.32,-209.77,-3927.24,-31858.7,1731.23,22569.51,-6497.31,180.47,680.74,-6316.85,-5636.11,,,,,
191,1796.59,4504.74,5298.07,514.92,285.28,-210.05,-3908.72,-31865.38,1727.43,22623.34,-6528.23,179,766.23,-6349.23,-5583,,,,,
201,1824.43,4582.86,5244.64,524.39,294.6,-183.62,-3941.4,-32155.1,1720.13,22648.14,-6262.22,179.55,559.07,-6082.67,-5523.6,,,,,
211,1780.3,4431.67,5266.74,502.72,277.37,-183.82,-3915.12,-31926.44,1742.26,22621.77,-6457.96,183.02,597.44,-6274.94,-5677.5,,,,,
221,1782.39,4539.34,5300.47,523.76,259.44,-177.09,-3968.14,-32094.95,1718.87,22656.49,-6353.28,177.24,540.58,-6176.04,-5635.46,,,,,
231,1810.49,4524.21,5272.25,507.81,266.83,-187.68,-3887.5,-31839.84,1726.11,22471.3,-6516.55,184.74,663.97,-6331.81,-5667.83,,,,,
241,1780.34,4492.61,5281.34,505.44,271.71,-202.7,-3962.29,-31951.77,1735.67,22545.85,-6397.95,176.63,496.2,-6221.32,-5725.12,,,,,
251,1801.5,4410.73,5259.88,485.43,282.26,-193.44,-3886.1,-32095.07,1706.9,22610.3,-6335.41,180.55,382.39,-6154.86,-5772.48,,,,,
261,1792.88,4548.21,5249.79,507.86,263.18,-201.28,-3930.77,-32083.27,1696.69,22594.62,-6344.38,175.49,437.92,-6168.89,-5730.98,,,,,
271,1848.45,4428.18,5266.9,503.49,268.72,-180.78,-3926.91,-32075.73,1765.94,22558.84,-6329.36,175.64,457.09,-6153.71,-5696.62,,,,,
281,1837.34,4426.81,5257.41,511.37,279.5,-180.63,-3939.52,-32004.16,1710.85,22634.57,-6414.82,177.33,533.54,-6237.5,-5703.96,,,,,
291,1854.42,4405.36,5280.49,498.95,268.56,-197.79,-3931.6,-31994.54,1706.06,22637.05,-6434.13,175.85,526.96,-6258.28,-5731.31,,,,,
301,1857.27,4501.86,5242.59,521.71,275.25,-182.94,-3954.63,-31963.53,1738.78,22489.36,-6336.49,177.16,525.7,-6159.33,-5633.63,,,,,
311,1826.95,4436.34,5235.17,507,264.08,-212.21,-3925.46,-32136.1,1692.29,22639.9,-6266.21,174.53,327.95,-6091.67,-5763.72,,,,,
321,1782.07,4457.3,5219.11,499.39,296.66,-224.42,-3915.8,-32076.72,1726.67,22574.97,-6309.1,179.28,339.23,-6129.82,-5790.59,,,,,
331,1755,4554.5,5291.05,519.02,269.66,-225.69,-3867.27,-32149.9,1784.47,22643.26,-6317.19,178.45,574.11,-6138.75,-5564.63,,,,,
341,1864.18,4483.38,5246.04,502.15,266.07,-206.29,-3894.57,-32215.88,1719.39,22530.49,-6215.43,178.48,294.97,-6036.95,-5741.98,,,,,
351,1795.31,4390.85,5268.57,505.01,282.01,-195.22,-3871.01,-32134.6,1709.44,22575.59,-6297.17,177.62,325.93,-6119.55,-5793.62,,,,,
361,1837.95,4457.58,5235.41,515.21,275.28,-195.04,-3877.34,-32007.84,1722.13,22485.69,-6325.31,179.88,449.04,-6145.43,-5696.39,,,,,
371,1833.08,4449.14,5242.53,497.88,277.27,-182.98,-3926.97,-32211.16,1715.48,22690.44,-6298.17,177.67,384.71,-6120.5,-5735.79,,,,,
381,1821.55,4484.26,5250.23,509.86,271.2,-202.81,-3921.06,-31993.84,1756.46,22636.11,-6439.72,181.1,611.95,-6258.62,-5646.67,,,,,
391,1825.26,4534.59,5268.92,514.89,295.55,-196.76,-3907.52,-32073.35,1739.25,22638.96,-6385.07,174.84,639.8,-6210.23,-5570.43,,,,,
401,1832.22,4413.66,5242.94,496.98,265.14,-200.17,-3926.93,-32014.86,1715.13,22651.63,-6414.39,182.59,475.75,-6231.8,-5756.06,,,,,
411,1908.42,4446.85,5243.38,509.42,278.89,-192.98,-3924.55,-31771.02,1725.87,22552.08,-6577.97,179.56,776.35,-6398.41,-5622.06,,,,,
421,1865.5,4466.72,5270.77,511.79,283.46,-195.77,-3929.21,-32113.1,1747.18,22661.24,-6359.57,177.55,568.58,-6182.02,-5613.44,,,,,
431,1798.54,4482.13,5215.89,520.98,281.77,-204.03,-3897.59,-32007.94,1732.07,22593.52,-6425.31,179.14,515.36,-6246.17,-5730.81,,,,,
441,1845.95,4451.58,5304.99,492.5,278.4,-217.79,-3900.93,-31909.42,1708.79,22652.11,-6519.06,180.5,706.18,-6338.56,-5632.38,,,,,
451,1835.11,4388.98,5213.78,496.79,274.49,-197.84,-3890.19,-32156.44,1753.63,22691.32,-6338.35,179.72,409.63,-6158.62,-5748.99,,,,,
461,1843.74,4421.59,5243.93,490.1,286.78,-191.54,-3914.42,-31892.49,1755.22,22718.83,-6563.75,183.01,761.75,-6380.75,-5619,,,,,
471,1790.48,4502.54,5256.23,498.35,292.07,-175.38,-3941.26,-31977.72,1713.08,22586.18,-6413.61,178.74,544.57,-6234.87,-5690.3,,,,,
481,1825.85,4475.4,5259.78,505.41,294.11,-171.84,-3924.27,-31902.83,1714.36,22514.88,-6469.58,178.66,590.86,-6290.93,-5700.07,,,,,
491,1855.15,4501.3,5245.61,509.64,275.58,-216.67,-3960.7,-32004.14,1714,22522.34,-6358.7,177.51,442.1,-6181.19,-5739.09,,,,,
501,1789.04,4444.87,5262.89,502.44,270.57,-193.47,-3908.21,-31929.94,1741.05,22571.6,-6441.87,174.5,550.84,-6267.37,-5716.53,,,,,
511,1782.52,4454.18,5231.77,501.26,275.55,-202.53,-3926.89,-31940.63,1729.89,22614.44,-6447.53,176.48,519.55,-6271.04,-5751.5,,,,,
521,1792.23,4537.57,5299.22,514.33,277.07,-193.19,-3969.35,-31971.54,1755.97,22713.17,-6482.3,173.34,755.46,-6308.96,-5553.5,,,,,
531,1837.6,4451.93,5283.92,501.27,277.77,-204.78,-3919.61,-32004.88,1718.34,22586.74,-6414.57,177.31,528.29,-6237.26,-5708.96,,,,,
541,1821.02,4319.77,5245.81,499.38,263.44,-202.63,-3918.05,-32153.21,1748.01,22751.74,-6392.85,174.12,375.27,-6218.73,-5843.46,,,,,
551,1849.79,4495.91,5229.32,508.77,277.86,-194.26,-3907.08,-31938.33,1716.47,22594.19,-6491.8,175.84,632.64,-6315.96,-5683.32,,,,,
561,1832.34,4445.75,5252.91,509.51,290.57,-165.34,-3907.33,-32015.06,1733.31,22675.16,-6520.74,178.25,651.81,-6342.49,-5690.67,,,,,
571,1865.2,4429.48,5228.14,508.01,275.74,-215.06,-3926.28,-31964.25,1722.15,22674.49,-6563.97,180.32,597.62,-6383.65,-5786.03,,,,,
581,1780.4,4539.62,5255.32,501.45,295.73,-189.21,-3894.55,-32085.47,1755.49,22702.58,-6506.43,182.45,661.35,-6323.98,-5662.63,,,,,
591,1810.64,4454,5272.47,522.1,272.85,-181.07,-3868,-31977.94,1769.52,22698.58,-6553.98,181.88,773.15,-6372.1,-5598.95,,,,,
601,1850.25,4464.96,5234.63,502.21,278.87,-205.71,-3917.46,-31839.78,1721.91,22683.71,-6620.97,179.14,773.6,-6441.84,-5668.23,,,,,
611,1777.39,4520.13,5267.42,501.16,277.26,-201.49,-3910.8,-31837.45,1757.09,22644.32,-6641.9,183.71,795.02,-6458.2,-5663.17,,,,,
621,1846.96,4481.83,5174.24,513.52,262.67,-189.61,-3857.98,-31500.45,1726.92,22565.06,-6914.19,187.96,1023.15,-6726.23,-5703.07,,,,,
631,1773.2,4462.44,5263.11,506.95,280.33,-192.54,-3925.37,-31799.27,1753.96,22640.7,-6659.06,181.46,763.5,-6477.6,-5714.1,,,,,
641,1808.21,4429.2,5236.77,508.93,273.77,-190.04,-3926.84,-31724.69,1703.24,22607.61,-6676.66,182.15,726.16,-6494.51,-5768.35,,,,,
651,1846.23,4456.2,5222.29,509.65,278.64,-181.47,-3922.06,-31638.46,1717.03,22541.54,-6771.32,184.57,829.61,-6586.75,-5757.14,,,,,
661,1774.61,4502.21,5235.47,512.28,263.74,-207.44,-3960.54,-31613.44,1747.55,22635.28,-6804.26,183.12,889.71,-6621.14,-5731.43,,,,,
671,1785.04,4413.25,5250.94,491.64,293.79,-213.27,-3953.43,-31510.23,1780.99,22593.2,-6817.23,180.38,931.92,-6636.85,-5704.93,,,,,
681,1834.85,4415.28,5270.96,519.44,278.43,-219.09,-3950.43,-31629.67,1786,22710.6,-6792.48,178.88,1016.36,-6613.6,-5597.24,,,,,
691,1799.65,4352.21,5268.5,487.12,291.15,-201.26,-3948.47,-31965.59,1742.67,22687.66,-6536.36,179.61,513.64,-6356.74,-5843.1,,,,,
701,1858.56,4461.18,5274.31,521.34,271.59,-204.47,-3932.16,-31945.83,1723.75,22629.8,-6480.55,176.82,658.08,-6303.74,-5645.65,,,,,
711,1811.61,4464.87,5252.58,503.48,269.72,-206.93,-3923.33,-31805.42,1747.64,22593.01,-6543.85,177.47,707.23,-6366.38,-5659.14,,,,,
721,1849.73,4337.06,5199.53,497.76,266.6,-158.52,-3881.8,-32177.82,1704.89,22634.95,-6301.57,178.1,272.37,-6123.47,-5851.1,,,,,
731,1841.81,4458.92,5228.98,516.45,282.1,-213.91,-3958.68,-32059.94,1740.48,22619.29,-6373.09,178.59,455.5,-6194.5,-5739,,,,,
