GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
2221,1859.71,4241.48,4928.52,473.09,247.56,-100.76,-3872.91,-28730.08,1597.55,16891.22,-5562.31,168.08,-2464.62,-5394.23,-7858.85,,,,,,,,,
2231,1819.86,4260.46,4950.31,472.02,267.45,-126.75,-3855.23,-29149.57,1619.44,17154.56,-5411.32,164.96,-2587.44,-5246.36,-7833.8,,,,,,,,,
2241,1769.95,4322.52,4914.16,480.46,265.25,-109.92,-3860.34,-28976.87,1639.51,17122.5,-5521.68,166.61,-2432.78,-5355.07,-7787.85,,,,,,,,,
2251,1771.02,4270.26,4951.22,476.92,272.4,-97.95,-3868.45,-28735.24,1623.12,17052.57,-5688.73,171.08,-2284.11,-5517.65,-7801.76,,,,,,,,,
2261,1886.36,4260.31,4986.53,477.12,285.87,-114.16,-3878.19,-29064.46,1592.03,17112.86,-5474.44,169.61,-2455.73,-5304.82,-7760.56,,,,,,,,,
2271,1821.47,4275.18,5004.43,486.5,262.51,-148.95,-3871.85,-28871.21,1615.39,16984.18,-5497.99,169.37,-2442.35,-5328.62,-7770.97,,,,,,,,,
2281,1826.23,4185.69,4957.66,482.64,267.57,-118.58,-3857.3,-29018.07,1592.33,17069.74,-5470.68,169.21,-2612.08,-5301.47,-7913.55,,,,,,,,,
2291,1779.8,4335.6,4967.21,478.96,258.25,-119.64,-3885.41,-28863.6,1613.89,17004.99,-5544.66,167.28,-2429.94,-5377.39,-7807.33,,,,,,,,,
2301,1834.94,4301.96,4945.67,481.32,255.63,-127.96,-3913.6,-28883.26,1617.33,17038.5,-5508.58,164.67,-2449.48,-5343.91,-7793.39,,,,,,,,,
2311,1853.44,4246.33,4967.61,471.56,276.19,-124.96,-3909.67,-28845.74,1620.63,16946.41,-5489.61,165.77,-2498.2,-5323.84,-7822.04,,,,,,,,,
2321,1838.19,4304.01,4989.89,480.44,284.76,-131.73,-3825.13,-28870.34,1604.26,16984.94,-5499.49,168.69,-2340.71,-5330.8,-7671.51,,,,,,,,,
2331,1866.37,4309.89,4923.61,481.13,264.06,-130.69,-3865.48,-28849.08,1587.28,17042.12,-5622.58,169.45,-2370.79,-5453.13,-7823.92,,,,,,,,,
2341,1813.91,4222.12,4955.15,461.99,268.11,-131.98,-3859.08,-28929.87,1609.93,16959.68,-5468.1,166.65,-2630.05,-5301.45,-7931.5,,,,,,,,,
2351,1849.61,4163.36,4963.6,483.02,286.49,-106.75,-3907.34,-28779.79,1616.42,17027.86,-5572.26,167.22,-2403.53,-5405.05,-7808.58,,,,,,,,,
2361,1785.65,4266.62,4993.01,473.62,287.36,-128.19,-3890.79,-29054.73,1619.76,17092.83,-5394.23,163.74,-2554.84,-5230.49,-7785.33,,,,,,,,,
2371,1858,4312.95,4940.16,489.15,270.25,-118.43,-3842.92,-29004.13,1563.58,17057.57,-5459.84,168.84,-2473.82,-5290.99,-7764.81,,,,,,,,,
2381,1769.65,4231.88,4984.18,482.79,274.5,-129.92,-3830.38,-29091.29,1637.92,17105.98,-5449.26,167.83,-2564.68,-5281.43,-7846.12,,,,,,,,,
2391,1803.33,4199.09,4951.95,473.11,277.91,-133.5,-3843.23,-29024.44,1609.71,17049.53,-5436.02,167.5,-2636.53,-5268.53,-7905.06,,,,,,,,,
2401,1831.78,4236.72,4938.95,483.54,255.84,-96.89,-3884.05,-28847.04,1584.43,17018.67,-5533.43,170.49,-2478.05,-5362.94,-7840.99,,,,,,,,,
2411,1840.84,4273.35,4967.89,475.46,264.3,-152.24,-3842.13,-28934.53,1637.39,17017.21,-5475.05,166.85,-2452.46,-5308.2,-7760.65,,,,,,,,,
