GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1733.65,4467.66,5009.12,473.17,273.26,-109.99,-3996.22,-29562.47,1596.89,17386.36,-5090.1,147.86,-2728.57,-4942.24,-7670.81,,,,,,,,,
11,1841.13,4517.52,4996.15,485.65,267.39,-97.85,-3832.77,-29345.37,1625.69,17301.4,-5319.03,163.14,-2241.07,-5155.88,-7396.95,,,,,,,,,
21,1823.25,4485.32,5012.45,479.19,283.42,-116.27,-3898.94,-29146.81,1611.27,17241.92,-5438.6,167.62,-2225.17,-5270.97,-7496.15,,,,,,,,,
31,1843.18,4533.46,4972.48,465.97,271.42,-100.84,-3860.35,-29046.43,1594.51,17285.64,-5510.74,169.4,-2040.96,-5341.33,-7382.29,,,,,,,,,
41,1862.81,4525.38,4939.35,496.29,275.23,-111.35,-3872.04,-29107.98,1629.2,17211.78,-5441.28,165.32,-2151.33,-5275.96,-7427.29,,,,,,,,,
51,1841.66,4484.85,4980.94,477.22,269.79,-104.31,-3845.43,-28999.73,1617.53,17149.42,-5511.9,169.17,-2128.05,-5342.73,-7470.78,,,,,,,,,
61,1855.29,4406.89,5035.28,482.2,285.68,-101.71,-3866.96,-29114.76,1629.34,17305.23,-5491.43,168.82,-2083.52,-5322.6,-7406.12,,,,,,,,,
71,1827.62,4535.5,4963.41,482.66,278.46,-126.84,-3868.13,-28971.65,1587.22,17194.13,-5585.08,165.63,-2097.63,-5419.46,-7517.09,,,,,,,,,
81,1822.69,4482.17,5006.75,465.84,259.49,-127.48,-3850.8,-29171.21,1628.93,17247.48,-5411.79,164.73,-2236.13,-5247.05,-7483.19,,,,,,,,,
91,1798.29,4463.48,4952.81,475.64,257.38,-130.5,-3798.62,-29017.23,1691.33,17335.79,-5616.17,167.81,-1971.63,-5448.36,-7419.99,,,,,,,,,
101,1843.19,4495.85,5006.13,468.45,266.9,-91.73,-3859.66,-29073.01,1580.17,17284.95,-5530.84,167.02,-2078.75,-5363.81,-7442.56,,,,,,,,,
111,1803.64,4409.48,4983.98,483.48,276.56,-98.81,-3815.57,-29230.28,1638.92,17294.04,-5403.58,169.08,-2254.54,-5234.5,-7489.04,,,,,,,,,
121,1827.84,4465.44,4975.71,459.69,272.08,-114.07,-3892.35,-28969.12,1613.2,17277.5,-5542.32,166.51,-2084.08,-5375.81,-7459.89,,,,,,,,,
131,1803.83,4510.91,4992.01,492.26,278.65,-117.84,-3789.64,-29025.25,1633.7,17181.77,-5552.43,173.99,-2039.59,-5378.45,-7418.04,,,,,,,,,
141,1762.63,4444.98,4933.07,469.71,259.38,-102.5,-3824.2,-29033,1589.4,17307.89,-5579.16,169.17,-2192.64,-5409.99,-7602.63,,,,,,,,,
151,1819.6,4409.03,5032.21,480.83,254.63,-132.85,-3898.41,-29078.92,1644.69,17252.76,-5497.48,164.34,-2216.45,-5333.14,-7549.58,,,,,,,,,
161,1928.46,4429.34,5007.34,485.43,276.47,-119.71,-3836.16,-29180.9,1601.25,17342.22,-5478.54,165.85,-2066.27,-5312.69,-7378.96,,,,,,,,,
171,1870.95,4536.41,4948.17,470.1,270.54,-121.59,-3804.17,-29078.38,1607.92,17252.75,-5512.47,168.78,-2047.3,-5343.68,-7390.98,,,,,,,,,
181,1755,4511.48,5031.74,478.18,279.77,-127.44,-3887.31,-29064.36,1603.94,17172.56,-5440.79,166.59,-2246.44,-5274.19,-7520.64,,,,,,,,,
191,1875.07,4466.17,4988.01,469.9,275.24,-105.45,-3891.15,-29053.49,1608.87,17143.32,-5428.37,163.12,-2223.52,-5265.25,-7488.77,,,,,,,,,
201,1879.96,4382.95,4963.91,467.87,249.18,-126.52,-3843.55,-29205.77,1617.31,17281.53,-5373.73,167.64,-2333.14,-5206.09,-7539.23,,,,,,,,,
211,1774.36,4464.49,5015.68,472.71,268.32,-92.69,-3861.02,-29035.44,1597.98,17189.86,-5492.36,170.93,-2205.75,-5321.44,-7527.19,,,,,,,,,
221,1813.93,4451.64,4996.22,483.66,280.78,-130.7,-3901.04,-29055.16,1628.93,17298.7,-5485.76,165.74,-2133.05,-5320.02,-7453.08,,,,,,,,,
231,1815.2,4499.07,4997.9,472.94,280.01,-91.21,-3890.37,-28951.69,1634.05,17219.22,-5555.01,165.15,-2014.89,-5389.86,-7404.75,,,,,,,,,
241,1845.59,4516.25,4990.54,487.05,262.89,-97.77,-3851.75,-29046.38,1613.43,17168,-5427.48,166.31,-2112.16,-5261.16,-7373.33,,,,,,,,,
251,1836.17,4502.67,5008.31,484.26,270.4,-113.81,-3904.65,-29087.55,1604.32,17119.99,-5414.55,168.71,-2279.88,-5245.84,-7525.72,,,,,,,,,
261,1820.52,4436.2,4988.05,481.52,277.07,-91.77,-3862.59,-29173.91,1615.53,17134.75,-5290.31,169.23,-2374.61,-5121.07,-7495.68,,,,,,,,,
271,1864.85,4487.56,4983.85,487.97,272.76,-140.13,-3906.25,-29165.61,1598.94,17177.98,-5361.42,165.89,-2338.08,-5195.53,-7533.61,,,,,,,,,
281,1786.24,4449.21,5033.62,484.75,265.73,-143.3,-3868.1,-29090.28,1603.49,17272.77,-5474.95,167.69,-2205.88,-5307.26,-7513.13,,,,,,,,,
291,1790.13,4516.22,4943.54,471.33,255.3,-97.24,-3840.14,-29350.24,1626.95,17288.39,-5297.62,167.31,-2395.76,-5130.31,-7526.07,,,,,,,,,
301,1855.18,4583.73,4954.35,486.05,259.94,-87.12,-3864.33,-29167.32,1615.55,17172.19,-5385.21,165.1,-2191.78,-5220.11,-7411.89,,,,,,,,,
311,1784.23,4587.93,4972.74,479.52,249.57,-100.24,-3848.37,-29189.31,1629.22,17253.5,-5437.1,163.62,-2181.21,-5273.48,-7454.69,,,,,,,,,
321,1769.92,4384.86,4988.53,458.01,284.54,-118.77,-3815.89,-29176.09,1640.81,17359.2,-5499.42,165.05,-2224.89,-5334.36,-7559.25,,,,,,,,,
331,1834.66,4506.7,5005.4,479.59,266.96,-110.85,-3846.31,-29224.42,1612.41,17326.26,-5455.61,170.91,-2149.6,-5284.69,-7434.29,,,,,,,,,
341,1764.9,4341.8,4990.53,455.28,276.79,-120.65,-3831,-29164.48,1621.7,17304.01,-5443.32,165.4,-2361.12,-5277.92,-7639.04,,,,,,,,,
351,1795.91,4493.87,4983.68,483.29,279.07,-86.91,-3861.57,-29117.82,1643.29,17198.96,-5421.69,165.99,-2188.24,-5255.71,-7443.95,,,,,,,,,
361,1815.75,4430.16,5006.55,473.19,279.34,-119.84,-3905.37,-29210.66,1612.64,17287.12,-5389.17,164.31,-2331.12,-5224.87,-7555.99,,,,,,,,,
371,1743.69,4331.28,4938.54,480.42,276.82,-133.46,-3854.56,-29056.07,1637.21,17259.56,-5528.65,167.49,-2376.57,-5361.16,-7737.74,,,,,,,,,
381,1762.64,4561.82,4928.79,483.84,272.27,-136.53,-3837.22,-29096.73,1596.28,17225.71,-5492.15,165.06,-2239.12,-5327.1,-7566.22,,,,,,,,,
391,1835.12,4524.26,4925.84,490.42,263.54,-131.16,-3829.03,-29037.97,1604.57,17103.61,-5436.04,168.95,-2250.81,-5267.09,-7517.9,,,,,,,,,
401,1871.27,4522.21,4947.94,462.96,256.1,-83.99,-3838.52,-29011.38,1546.08,17131.03,-5492.75,170.13,-2196.3,-5322.61,-7518.91,,,,,,,,,
411,1877.65,4435.42,4972.59,473.03,281.96,-102.33,-3822.26,-29247.33,1634.32,17225.22,-5356.48,163.07,-2271.73,-5193.41,-7465.14,,,,,,,,,
