GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1748.91,4401.35,5032.16,464.67,270.88,-87.31,-4056.47,-29544.72,1651.74,17322.62,-5021,144.6,-2796.18,-4876.41,-7672.59,,,,,,,,,
11,1809.05,4521.54,5028.57,480.84,297.32,-80.61,-3910.71,-29214.7,1661.98,17252.7,-5358.09,162.82,-2154.03,-5195.27,-7349.29,,,,,,,,,
21,1812.35,4528.68,5012.85,488.17,287.58,-98.56,-3896.46,-29128.47,1625.04,17266.77,-5443.05,161.11,-2102.05,-5281.94,-7383.99,,,,,,,,,
31,1814.89,4509.92,5010.44,472.88,281.44,-105.45,-3905.02,-29094.56,1619.63,17203.44,-5470.41,163.78,-2192.4,-5306.63,-7499.03,,,,,,,,,
41,1870.28,4600.99,4967.56,486.84,267.41,-94.25,-3911.49,-28956.27,1620.58,17119.89,-5499.97,167.4,-2028.46,-5332.57,-7361.03,,,,,,,,,
51,1844.3,4538.58,4969.8,495.71,268.6,-98.64,-3910.23,-28919.78,1613.92,17160.5,-5586.44,163.99,-2037.24,-5422.44,-7459.68,,,,,,,,,
61,1803.58,4458.01,5017.91,458.47,282.55,-88.16,-3866.76,-29190.49,1633.24,17289.53,-5420.2,166.62,-2202.13,-5253.57,-7455.71,,,,,,,,,
71,1839.61,4524.5,5001.66,483.48,267.35,-103.4,-3848.91,-28975.03,1602.67,17228.49,-5568.75,171.37,-1979.58,-5397.37,-7376.96,,,,,,,,,
81,1854.93,4499.84,4964.2,469.45,268.09,-123.81,-3868.53,-28927.25,1627.9,17048.06,-5519.41,167.48,-2187.12,-5351.94,-7539.06,,,,,,,,,
91,1842.72,4413.34,5053.11,478.29,279.54,-104.27,-3899.98,-29107.74,1627.56,17309.45,-5501.53,164.15,-2107.96,-5337.38,-7445.35,,,,,,,,,
101,1859.3,4488.73,5014.79,488.26,258.36,-89.11,-3869.36,-29089.76,1636.98,17118.23,-5415.43,164.18,-2183.58,-5251.25,-7434.84,,,,,,,,,
111,1831.01,4543.51,5028.55,486.93,274.86,-120.4,-3867.59,-29135.9,1653.75,17183.95,-5457.49,167.07,-2121.33,-5290.42,-7411.75,,,,,,,,,
121,1829.53,4470.01,4985.87,455.78,261.71,-138.36,-3913.39,-29002.91,1628.02,17150.04,-5497.17,165.11,-2273.71,-5332.06,-7605.76,,,,,,,,,
131,1879.15,4465.25,4948.07,489.11,275.29,-109.66,-3858.85,-28958.09,1616.15,17113.02,-5546.24,167.57,-2140.55,-5378.66,-7519.21,,,,,,,,,
141,1823.68,4490.91,4976.5,485.97,280.07,-126.26,-3847.06,-28865.81,1628.26,17088.46,-5581.38,169.49,-2065.27,-5411.88,-7477.15,,,,,,,,,
