GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1774.9,4474.12,5380.35,513.94,278.17,-188.35,-3957.59,-32469.27,1781.14,22708.64,-5948.92,162.09,296.07,-5786.82,-5490.75,,,,,
11,1855.37,4472.74,5331.3,514.5,277.69,-205.98,-3882.66,-32097.59,1757.81,22594.49,-6295.32,181.43,617.68,-6113.89,-5496.21,,,,,
21,1802.92,4493.53,5304.19,500.29,252.75,-174,-3864.24,-32001.66,1752.8,22641.04,-6463.51,183.92,707.62,-6279.6,-5571.98,,,,,
31,1796.62,4367.95,5298.13,520.03,267.63,-207.37,-3867.62,-32139.97,1733.03,22708.16,-6386.98,178.66,476.59,-6208.32,-5731.73,,,,,
41,1790.06,4563.56,5219.35,495.16,289.56,-193.9,-3889.38,-32111.29,1709.84,22637.24,-6330.55,183.22,510.2,-6147.34,-5637.13,,,,,
51,1789.95,4355.48,5261.47,507.61,276.46,-197.17,-3884.54,-32337.38,1728.37,22811.31,-6245.62,178.86,311.55,-6066.76,-5755.21,,,,,
61,1801.24,4498.82,5252.66,515.15,254.26,-191.78,-3896.52,-32118.95,1714.56,22705.73,-6391.69,180.28,535.18,-6211.4,-5676.23,,,,,
71,1825.87,4493.34,5260.18,505.29,284.72,-199.78,-3923.76,-31825.23,1712.62,22495.42,-6510.64,180.07,628.66,-6330.58,-5701.91,,,,,
81,1886.88,4497.44,5265.98,516.6,279.96,-180.41,-3896.06,-31959.61,1721.54,22667.33,-6545.16,183.2,799.65,-6361.95,-5562.31,,,,,
91,1802.28,4517.36,5247.41,519.53,257.13,-181.42,-3898.98,-32110.14,1726.14,22779.02,-6475.38,183.17,658.33,-6292.21,-5633.89,,,,,
101,1814.33,4500.08,5270.88,503.76,278.14,-191.89,-3919.22,-32125.76,1728.05,22725.14,-6402.01,178.96,583.52,-6223.05,-5639.53,,,,,
111,1890.93,4480.49,5255.27,510.09,263.91,-171.24,-3977.19,-32048.85,1729.48,22790.53,-6482.36,175.74,723.43,-6306.62,-5583.19,,,,,
121,1804.32,4442.25,5216.65,504.98,271.33,-163.05,-3910.03,-32249.27,1740.1,22823.72,-6387.02,183.04,480.99,-6203.98,-5722.99,,,,,
