GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1752.27,4461.6,5368.58,508.27,286.85,-161.6,-3979.99,-32500.8,1749.97,22775.35,-5963.5,161.02,260.51,-5802.47,-5541.96,,,,,
11,1810.77,4463.64,5296.43,516.17,286.95,-181.02,-3848.52,-32169.97,1736.78,22716.13,-6380.1,177.81,627.35,-6202.29,-5574.94,,,,,
21,1854.88,4477.59,5296.89,519.26,282.75,-190.86,-3919.31,-32358.51,1769.08,22779.89,-6249.59,176.99,511.65,-6072.6,-5560.95,,,,,
31,1770.8,4452.45,5361.76,496.16,277.86,-190.17,-3899.92,-32295.46,1738.18,22663.12,-6247.07,180.4,374.79,-6066.68,-5691.88,,,,,
41,1809.03,4522.1,5316.41,536.31,266.06,-191.94,-3941.08,-31919.15,1744.07,22639.76,-6524.25,181.51,781.57,-6342.74,-5561.16,,,,,
51,1849.58,4498.34,5299.88,501.53,301.64,-175.44,-3915.32,-31959.8,1773.78,22710.28,-6582.98,187,884.46,-6395.98,-5511.52,,,,,
61,1842.77,4462.17,5290.14,508.48,287.68,-177.6,-3867.69,-32060.87,1726.29,22804.93,-6538.75,187.07,816.29,-6351.68,-5535.39,,,,,
71,1821.85,4408.14,5289.27,513.72,270.25,-209.83,-3903.63,-31870.81,1778.21,22724.11,-6615.39,183.02,821.3,-6432.37,-5611.07,,,,,
81,1808.41,4443.19,5261.75,509.04,273.63,-175.05,-3883.23,-32173.13,1756.85,22651.56,-6365.32,183.97,473.02,-6181.35,-5708.33,,,,,
91,1754.61,4468.77,5306.07,500.16,256.6,-188.66,-3899.59,-32181.84,1738.26,22731.5,-6415.84,182.76,485.89,-6233.08,-5747.19,,,,,
101,1801.84,4517.23,5215.57,504.53,280.54,-178.27,-3907.4,-32238.5,1724.98,22645.63,-6233.06,179.21,366.14,-6053.85,-5687.71,,,,,
111,1755.68,4450.38,5228.94,501.05,276.95,-202.14,-3902.57,-32320.03,1767.46,22769.45,-6240.3,179.71,325.18,-6060.59,-5735.41,,,,,
121,1762.62,4407.74,5218.35,502.76,278.16,-184.63,-3883.07,-32334.27,1728.98,22798.55,-6273.21,182.61,295.2,-6090.6,-5795.4,,,,,
131,1799.25,4495.59,5211.03,529.52,274.22,-191.74,-3887.98,-32192.08,1743.63,22615.94,-6310.63,180.83,397.38,-6129.8,-5732.42,,,,,
141,1824.8,4443.09,5221.73,505.71,266.92,-214.73,-3861.31,-32198.04,1744.13,22642.23,-6302.74,178.95,374.53,-6123.79,-5749.26,,,,,
151,1848.13,4406.62,5229.73,499.41,276.1,-195.94,-3913.78,-32274.81,1749.55,22734.44,-6281.51,179.43,359.45,-6102.08,-5742.63,,,,,
161,1829.75,4465.09,5249.74,503.88,290.26,-181.08,-3913.97,-32223.11,1757.22,22655.08,-6243.97,180.21,432.86,-6063.76,-5630.9,,,,,
171,1787.34,4479.24,5204.04,507.29,276.05,-189.61,-3894.29,-32284.23,1724.59,22723.73,-6268.34,182.42,334.15,-6085.92,-5751.77,,,,,
181,1794.26,4419.88,5252.5,494.89,270.37,-182.62,-3873.53,-32365.45,1741.42,22653.58,-6209.98,181.91,205.3,-6028.08,-5822.77,,,,,
191,1855.72,4457.82,5269.87,521.36,279.92,-199.89,-3866.83,-32430.31,1737.24,22712.68,-6207.27,182.89,337.59,-6024.37,-5686.78,,,,,
201,1847.58,4495.14,5240.45,516.79,278.4,-203.16,-3884.88,-32341.27,1731.77,22643.22,-6245.49,178.7,324.03,-6066.79,-5742.76,,,,,
211,1766.9,4390.14,5226.51,505.07,262.35,-177.86,-3890.97,-32415.93,1765.1,22648.69,-6128.62,178.03,80,-5950.58,-5870.58,,,,,
221,1847.57,4561.74,5244.19,506.59,284.8,-177.44,-3875.1,-32137.88,1738.54,22599.47,-6401.44,183.61,592.48,-6217.83,-5625.35,,,,,
231,1753.71,4628.85,5219.27,497.17,269.75,-173.14,-3940.62,-32118.68,1747.22,22597.9,-6405.33,178.43,481.43,-6226.9,-5745.47,,,,,
241,1818.92,4377.7,5267.16,496.89,271.8,-160.9,-3921.06,-32244.48,1726.31,22683.22,-6319.48,180.4,315.55,-6139.09,-5823.54,,,,,
251,1887.47,4450.24,5251.06,502.49,255.14,-184.3,-3900.73,-32225.77,1731.77,22645.02,-6325.87,180.28,412.4,-6145.59,-5733.19,,,,,
261,1803.78,4452.71,5250.72,510.07,263.02,-168.48,-3912.46,-32053.66,1719.99,22668.02,-6429.79,181.27,533.71,-6248.53,-5714.82,,,,,
271,1884.59,4502.34,5255.46,512.91,285.23,-187.88,-3910.96,-32003.71,1743.7,22518.57,-6430.6,181.28,600.27,-6249.31,-5649.04,,,,,
281,1852.31,4490.25,5281.02,501.42,277.21,-192.12,-3877.17,-32029.33,1728.7,22537.84,-6431.9,185.42,570.12,-6246.48,-5676.35,,,,,
291,1825.12,4490.91,5220.85,515.09,262.68,-177.27,-3845.44,-32146.45,1725.1,22598.3,-6340.88,180.35,468.89,-6160.53,-5691.64,,,,,
301,1846.43,4470.29,5201.91,515.73,271.76,-168.66,-3870.68,-32289.94,1743.86,22731.26,-6312.14,181.31,451.96,-6130.83,-5678.88,,,,,
311,1815.47,4491.62,5226.67,506.67,283.64,-161.68,-3847.73,-32428.18,1746.81,22783.64,-6195.8,179.57,416.94,-6016.24,-5599.3,,,,,
