GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1611,1906.65,4095.02,5191.67,492.71,269.04,-190.75,-3869.7,-31892.94,1732.44,22619.14,-6517.07,184.53,353.28,-6332.54,-5979.25,,,,,
1621,1805.28,4245.27,5201.93,527.12,283.32,-200.33,-3870.02,-31927.1,1759.94,22548.33,-6490.97,187.43,373.73,-6303.54,-5929.8,,,,,
1631,1774.68,4220.04,5224.51,515.22,267.81,-200.5,-3853.97,-31719.68,1768.3,22503.95,-6594.54,190.37,500.36,-6404.17,-5903.81,,,,,
1641,1805.01,4117.17,5221.94,495.74,285.57,-186.93,-3862.04,-31939.31,1782.52,22624.9,-6519.93,184.07,344.56,-6335.86,-5991.31,,,,,
1651,1851.08,4213.01,5243.39,509.73,284.6,-166.32,-3876.39,-31877.08,1697.38,22557.32,-6464.21,182.88,436.72,-6281.33,-5844.61,,,,,
1661,1748.46,4141.36,5223.79,492.11,284.84,-184.74,-3903.03,-31746.51,1767.18,22698.59,-6694.27,188.78,522.06,-6505.49,-5983.43,,,,,
1671,1778.48,4227.46,5240.97,491.77,271.92,-183.14,-3893.52,-31839.56,1719.45,22714.31,-6627.13,184.63,528.13,-6442.5,-5914.37,,,,,
1681,1757.7,4165.42,5190.36,489.65,269.5,-165.04,-3905.23,-31826.44,1732.95,22553.63,-6533.08,187.23,262.52,-6345.85,-6083.33,,,,,
1691,1847.75,4174.69,5251.14,525.82,270.48,-189.24,-3891.89,-32153.13,1749.09,22652.04,-6284.83,186.57,236.77,-6098.26,-5861.49,,,,,
1701,1839.01,4260.69,5226.03,519.68,256.27,-190.2,-3894.86,-32099.61,1758.62,22636.34,-6348.9,183.1,311.98,-6165.8,-5853.82,,,,,
1711,1783.44,4049.36,5237.4,487.41,290.19,-195.54,-3843.93,-32020.57,1765.45,22644.35,-6448.02,186.11,197.56,-6261.9,-6064.35,,,,,
1721,1881.53,4159.46,5275.28,510.92,267.65,-210.56,-3864.58,-31725.55,1717.53,22555.57,-6623.02,190.24,567.26,-6432.78,-5865.52,,,,,
1731,1803.51,4204.83,5236.16,499.2,291.74,-199.48,-3894.17,-31861.14,1765.33,22528.36,-6524.71,183.12,374.35,-6341.59,-5967.25,,,,,
1741,1813.52,4149.44,5216.6,504.13,254.69,-194.37,-3885.43,-31696.01,1774.69,22558.11,-6640.38,187.45,495.38,-6452.93,-5957.55,,,,,
1751,1819.31,4312.46,5233.35,508.28,267.46,-205.48,-3918.86,-31912.58,1738.02,22570.39,-6487.48,184.24,412.35,-6303.25,-5890.9,,,,,
1761,1822.7,4100.18,5259.82,498.15,267.55,-190.02,-3919.84,-31859.57,1743.22,22592.43,-6557.55,187.13,314.6,-6370.42,-6055.81,,,,,
1771,1819.71,4119.49,5230.05,516.03,291.61,-185.06,-3861.35,-32119.77,1772.42,22632.47,-6322.13,182.23,215.62,-6139.91,-5924.29,,,,,
1781,1794.98,4198.79,5257.17,506.82,284.03,-207.65,-3878.34,-32013.46,1748.15,22699.73,-6489.64,182.28,390.22,-6307.36,-5917.14,,,,,
1791,1757.4,4200.2,5175.86,514.59,262.93,-188.02,-3877.55,-31826.64,1755.75,22616.3,-6580.58,183.57,390.82,-6397.01,-6006.19,,,,,
1801,1799.21,4188.21,5200.11,505.26,277.1,-190.52,-3865.87,-31785.3,1735.46,22612.75,-6661.55,183.04,476.41,-6478.51,-6002.1,,,,,
1811,1823.83,4236.1,5178.6,504.86,267.9,-195.03,-3873.3,-31804.31,1749.1,22553.37,-6522.98,182.68,441.14,-6340.31,-5899.17,,,,,
1821,1818.72,4215.3,5215.11,530.4,264.33,-195.18,-3912.68,-31674.2,1718.69,22549.89,-6646.28,182.25,530.37,-6464.04,-5933.66,,,,,
1831,1813.59,4107.08,5207.5,504.28,271.31,-193.89,-3875.61,-31810.76,1746.19,22675.2,-6652.95,185.48,444.88,-6467.47,-6022.59,,,,,
1841,1763.79,4197.18,5197.98,513.15,300.46,-210.79,-3885.33,-31972.66,1760.48,22656.64,-6489.23,183.9,320.91,-6305.33,-5984.42,,,,,
1851,1823.9,4190.57,5175.44,521.94,292.73,-166.12,-3883.5,-32051.55,1732.56,22712.29,-6470.86,186.24,348.25,-6284.61,-5936.36,,,,,
1861,1814.51,4251.37,5243.14,523.26,272.46,-205.66,-3905.37,-31796,1711.32,22662.59,-6627.72,187.46,571.62,-6440.26,-5868.64,,,,,
1871,1770.61,4138.51,5226.38,502.18,281.82,-173.56,-3937.06,-31698.59,1768.14,22661.64,-6722.05,186.26,540.07,-6535.79,-5995.73,,,,,
1881,1811.66,4247.58,5282.88,509.62,276.09,-192.45,-3876.73,-31729.57,1778.63,22575.23,-6671.5,186.78,682.93,-6484.72,-5801.79,,,,,
1891,1824.57,4096.29,5212.41,508.31,270.89,-196.21,-3866.95,-31753.6,1738.52,22663.26,-6689.51,188.31,497.49,-6501.2,-6003.71,,,,,
1901,1870.02,4214.58,5192.02,519.91,294.46,-186.06,-3885.66,-31935.69,1751.06,22634.43,-6526.92,185.49,469.08,-6341.42,-5872.34,,,,,
1911,1774.49,4253.22,5203.14,505.18,266.78,-205.01,-3898.45,-31962.42,1717.01,22651.3,-6512.73,186.48,305.24,-6326.25,-6021.01,,,,,
1921,1833.79,4256.56,5221.89,511.16,282.6,-162.29,-3860.54,-32034.19,1707.09,22641.73,-6479.99,184.61,397.8,-6295.38,-5897.58,,,,,
1931,1861.84,4223.36,5222.99,501.59,257.59,-216.03,-3926.05,-31953.36,1728.7,22619.99,-6480.47,183.85,320.62,-6296.62,-5976,,,,,
1941,1822.23,4191.53,5175.91,505.39,267.69,-187.83,-3854.82,-31957.61,1720.11,22681.41,-6603.85,187.93,364,-6415.93,-6051.93,,,,,
1951,1760.02,4205.7,5249.98,519.96,281.34,-214.57,-3825.98,-31913.01,1750.28,22626.21,-6585.24,184.92,439.94,-6400.32,-5960.38,,,,,
1961,1832.24,4208.4,5244.88,519.94,293.68,-187.45,-3911.11,-31905.96,1746.33,22616.85,-6516.13,187.48,457.81,-6328.65,-5870.84,,,,,
1971,1788.66,4155.19,5181.61,486.97,263.01,-166.78,-3891.01,-31883.84,1785.25,22521.55,-6509.39,186.31,240.59,-6323.08,-6082.49,,,,,
1981,1843.55,4248.31,5211.68,503.81,285.76,-195.5,-3895.2,-31939.71,1723.99,22624.14,-6517.57,190.97,410.83,-6326.59,-5915.76,,,,,
1991,1812.23,4222.33,5197.91,516.81,282.42,-202.73,-3834.38,-31792.32,1721.34,22516.84,-6603.87,188.42,440.45,-6415.44,-5975,,,,,
2001,1826.81,4222.45,5243.18,499.72,259.44,-196.68,-3879.11,-31831.54,1731.54,22522.37,-6544.3,184.86,398.17,-6359.44,-5961.27,,,,,
2011,1774.89,4238.73,5241.52,506.92,271.62,-170.78,-3903.81,-32013.53,1795.32,22637.29,-6442.24,184.65,378.17,-6257.59,-5879.42,,,,,
2021,1837.3,4199.76,5184.7,521.05,266.93,-153.84,-3889.48,-31905.94,1747.42,22578.23,-6487.8,182.44,386.14,-6305.36,-5919.22,,,,,
2031,1825.18,4172.84,5235.86,520.42,266.22,-191.25,-3866.47,-31889.29,1759.43,22616.17,-6532.72,186.64,449.1,-6346.08,-5896.98,,,,,
2041,1831.49,4172.6,5252.09,480.06,272.4,-209.5,-3904.5,-31701.56,1775.16,22525.19,-6659.65,184.9,493.43,-6474.76,-5981.33,,,,,
2051,1847.52,4180.78,5241.94,500.21,288.02,-172.43,-3867.05,-31891.52,1724.34,22628.55,-6507.46,188.02,480.37,-6319.44,-5839.07,,,,,
2061,1799.72,4268.12,5207.11,507.45,265.39,-204.9,-3856.85,-31816.58,1752.23,22502.54,-6573.87,192.25,424.22,-6381.63,-5957.4,,,,,
2071,1785.7,4216.62,5264.14,507.81,265.25,-196.14,-3908.99,-31860.24,1747.57,22688.42,-6578.63,182.89,510.14,-6395.75,-5885.61,,,,,
2081,1811.38,4314.36,5280.35,505.29,281.09,-187.57,-3857.15,-31933.26,1726.95,22548.67,-6492.53,186.09,490.12,-6306.44,-5816.33,,,,,
2091,1885.05,4146.26,5215.71,496.7,266.31,-172.89,-3870.61,-31812.35,1712.85,22596.68,-6596.02,189.38,463.7,-6406.63,-5942.94,,,,,
2101,1827.36,4136.66,5192.65,511.17,286.4,-166.45,-3841.06,-32027.32,1763.24,22573.52,-6436.33,187.55,256.17,-6248.78,-5992.61,,,,,
2111,1828.66,4231.13,5212.86,528.43,272.71,-212.07,-3860.71,-32027.93,1711.22,22531.55,-6355.65,184.22,215.84,-6171.43,-5955.58,,,,,
2121,1809.81,4242.95,5241.46,511.79,287.57,-173.17,-3917,-32077.44,1743.99,22662.44,-6392.41,183.88,332.4,-6208.53,-5876.13,,,,,
2131,1763.16,4178.16,5180.42,498.26,257.22,-190.98,-3861.43,-32036.86,1731.75,22646.28,-6440.11,183.56,165.97,-6256.55,-6090.58,,,,,
2141,1756.33,4139.44,5207.87,501.49,273.87,-179.53,-3871.15,-31949.62,1777.02,22681.45,-6524.68,187.75,337.17,-6336.93,-5999.76,,,,,
2151,1814.3,4134.66,5216.51,498.64,275.05,-196.28,-3885.05,-31927.32,1746.97,22587.76,-6487.66,187.4,265.26,-6300.26,-6035,,,,,
2161,1855.39,4260.06,5237.44,510.76,284.59,-194.17,-3895.4,-31744.56,1756.36,22425.74,-6540.14,188.59,496.2,-6351.55,-5855.35,,,,,
2171,1860.05,4199.5,5243.71,506.6,250.79,-174.98,-3871.12,-31905,1713.64,22621.92,-6530.11,186.13,445.11,-6343.97,-5898.87,,,,,
2181,1880.26,4184.8,5228.49,501.82,263.4,-193.45,-3849.01,-31978.64,1724.17,22641.42,-6471.59,187.51,403.26,-6284.09,-5880.82,,,,,
2191,1839.67,4258.48,5202.31,512.88,271.95,-179.33,-3834.72,-31926.65,1743.85,22572.57,-6501.5,189,461.01,-6312.5,-5851.49,,,,,
2201,1796.07,4139.81,5211.55,503.48,281.47,-194.14,-3824.33,-32032.03,1741.5,22619.35,-6441.37,191.23,242.72,-6250.14,-6007.42,,,,,
2211,1819.55,4179.78,5254.9,492.28,263.14,-195.99,-3868.58,-32050.57,1706.3,22570.14,-6372.42,186.1,170.95,-6186.33,-6015.38,,,,,
2221,1802.45,4221.48,5224.65,511.35,268.8,-194.9,-3885.52,-32006.13,1704.61,22509.59,-6343.53,183.64,156.38,-6159.89,-6003.51,,,,,
2231,1794.69,4180.13,5217.81,509.84,286.59,-195.7,-3894.57,-32122.5,1731.54,22565.13,-6351.3,186.02,72.96,-6165.28,-6092.31,,,,,
2241,1795.3,4189.06,5247.97,522.86,274.73,-191.73,-3847.96,-31967.24,1733.21,22585.73,-6459.68,187.63,341.93,-6272.05,-5930.11,,,,,
2251,1798.7,4163.7,5202.93,510.28,238.84,-226.71,-3905.82,-31960.84,1725.2,22556.17,-6383.07,185.35,102.45,-6197.72,-6095.27,,,,,
2261,1773.28,4130.11,5217.84,514.09,261.22,-203.1,-3854.4,-31945.65,1714.04,22611.44,-6504.54,190.34,218.87,-6314.2,-6095.33,,,,,
2271,1795.87,4226.87,5195.34,497.76,258.84,-225.45,-3897.64,-31968.6,1738.86,22554.19,-6367.15,184.19,176.04,-6182.96,-6006.91,,,,,
2281,1824.59,4200.59,5207.8,504.23,294.15,-193.76,-3859.31,-31982.47,1741.17,22547.19,-6357.24,188.65,284.18,-6168.59,-5884.41,,,,,
2291,1788.7,4310,5192.66,513.79,282.28,-216.15,-3848.38,-32049.64,1706.73,22459.72,-6297.61,185.69,139.72,-6111.92,-5972.2,,,,,
2301,1761.4,4163,5181.79,513.14,274.6,-205.4,-3816.85,-32087.97,1733.74,22561.15,-6312.16,187.78,78.6,-6124.37,-6045.77,,,,,
2311,1780.03,4228.15,5228.79,507.86,283.37,-221.86,-3849.43,-31958.23,1748.32,22530.8,-6430.69,188.99,277.79,-6241.71,-5963.91,,,,,
2321,1839.96,4245.87,5192.83,533.64,267.86,-226.17,-3833.54,-31675.45,1734.91,22509.59,-6647.98,188.56,589.5,-6459.42,-5869.92,,,,,
2331,1775.33,4144.57,5180.27,504.37,275.99,-192.42,-3886.39,-31680.5,1713.28,22484.03,-6602.63,189.62,318.52,-6413.01,-6094.49,,,,,
2341,1835.2,4223.78,5219.08,489.66,266.06,-183.48,-3856.67,-31875.05,1712.83,22437.28,-6415.68,191.07,268.69,-6224.6,-5955.91,,,,,
2351,1870.65,4150.11,5225.47,503.31,281.13,-205.28,-3872.14,-31928.71,1740.63,22494.54,-6399.1,186.46,259.71,-6212.64,-5952.92,,,,,
2361,1834.41,4270.1,5219.73,516.66,276.26,-205.76,-3836.03,-31859.74,1749.04,22597.29,-6575.54,185.21,561.96,-6390.33,-5828.37,,,,,
2371,1854.73,4207.25,5263.48,521.84,276.19,-213.09,-3892.49,-31892.71,1752.73,22545.12,-6469.73,188.11,423.05,-6281.62,-5858.57,,,,,
2381,1800.74,4152.92,5219.99,512.19,265.21,-217.53,-3895.69,-31973.13,1758.35,22669.22,-6507.59,186.57,292.27,-6321.03,-6028.76,,,,,
2391,1822.1,4232.42,5251.27,516.06,292.91,-204.06,-3856.18,-32194.01,1754.14,22617.49,-6299.45,185.87,232.13,-6113.58,-5881.45,,,,,
2401,1853.81,4242.05,5255.09,519.16,274.17,-205.37,-3876.29,-31903.94,1722.73,22480.88,-6446.36,187.07,362.3,-6259.28,-5896.98,,,,,
2411,1806.43,4229.56,5251.5,494.14,279.9,-199.54,-3818.86,-31927.87,1763.87,22563.67,-6514.96,187.72,442.82,-6327.24,-5884.43,,,,,
2421,1787.2,4164.28,5199.09,494.02,267.77,-220.21,-3889.93,-32021.26,1761.9,22719.39,-6410.42,182.61,262.26,-6227.81,-5965.56,,,,,
2431,1865.17,4175.68,5196.3,514.82,250.82,-196.97,-3814.88,-32013.95,1719.85,22617.64,-6438.33,188.05,314.48,-6250.28,-5935.8,,,,,
2441,1823.01,4216.62,5235.53,523.99,276.58,-205.59,-3841.7,-31857.69,1736.28,22459.29,-6468.08,187.55,366.32,-6280.54,-5914.22,,,,,
2451,1774.35,4293.19,5240.49,521.47,285.34,-212.19,-3844.57,-32033.26,1733.92,22573.83,-6388.52,184.73,332.57,-6203.78,-5871.21,,,,,
2461,1827.16,4169.76,5201.94,489.54,274.34,-192.75,-3853.75,-31946.95,1763.35,22483.83,-6434.55,185.9,216.48,-6248.65,-6032.17,,,,,
2471,1784.54,4210.13,5209.36,489.17,255.72,-207.78,-3896.05,-31828.18,1753.76,22547.02,-6496.58,186.91,317.7,-6309.67,-5991.97,,,,,
2481,1807.81,4237.18,5230.11,505.84,284.56,-203.61,-3888.78,-31720.92,1740.18,22382.47,-6493.13,182.76,374.83,-6310.37,-5935.53,,,,,
2491,1845.28,4207.99,5239.26,499.75,268.44,-170.49,-3934.81,-31624.53,1733.78,22453.61,-6626.29,183.65,518.28,-6442.63,-5924.35,,,,,
2501,1771.68,4157.74,5259.42,506.88,279.77,-205.68,-3831.39,-31827.89,1744.34,22558.88,-6541.17,184.69,413.77,-6356.48,-5942.71,,,,,
2511,1792.74,4233.34,5203.77,526.75,273.74,-199.96,-3882.23,-31670.18,1727.31,22542.91,-6702.57,193.44,548.2,-6509.13,-5960.93,,,,,
2521,1805.76,4245.22,5212.32,516.95,262.78,-175.98,-3885.13,-31974.25,1741.55,22560.87,-6427.76,183.18,310.1,-6244.58,-5934.49,,,,,
2531,1812.18,4199.37,5221.84,495.89,250.63,-176.89,-3906.27,-31901.03,1719.28,22532.84,-6427.9,181.25,247.83,-6246.65,-5998.82,,,,,
2541,1771.45,4170.81,5201.99,497.34,270.31,-173.28,-3872.42,-31731.49,1774.74,22522.74,-6588.29,188.03,432.18,-6400.26,-5968.08,,,,,
2551,1786.71,4236.12,5240.67,517.83,293.22,-180.51,-3863.01,-31926.47,1722.34,22417.85,-6403.92,184.76,244.74,-6219.16,-5974.42,,,,,
2561,1824.73,4254.87,5161.84,505.59,297.85,-219.12,-3876.03,-31796.73,1713.93,22429.59,-6489.45,188.52,296.52,-6300.93,-6004.42,,,,,
2571,1875.47,4211.47,5223.27,517.15,278.9,-219.38,-3907.26,-31866.62,1720.19,22457.43,-6403.36,185.03,290.62,-6218.33,-5927.71,,,,,
2581,1865.03,4260.17,5217.63,508.94,282.44,-176.98,-3902.42,-31652.96,1718.64,22351.89,-6545.93,186.72,472.38,-6359.21,-5886.83,,,,,
2591,1804.85,4287.88,5224.19,527.46,281.23,-196.55,-3835.55,-31846.98,1713.49,22450.49,-6508.12,188.46,410.53,-6319.66,-5909.13,,,,,
