GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1745.38,4510.12,5378.47,520.49,294.57,-174.79,-4038.77,-32252.41,1763.1,22668.27,-6082.33,160.96,414.42,-5921.37,-5506.95,,,,,
11,1831.65,4523.29,5345.83,504.59,282.84,-156.01,-3845.35,-31917.2,1738.58,22489.25,-6413.08,183.36,797.47,-6229.72,-5432.25,,,,,
21,1824.69,4453.73,5322.58,501.85,281.42,-203.2,-3920.17,-31908.14,1727.2,22504.39,-6447.88,182.94,584.36,-6264.94,-5680.58,,,,,
31,1871.22,4504.08,5298.21,506.85,275.41,-196.85,-3856.96,-31992.11,1701.98,22456.95,-6376.87,180.84,568.78,-6196.03,-5627.25,,,,,
41,1793.74,4505.82,5342.54,519.62,286.66,-199.63,-3897.9,-31715.13,1748.52,22429.7,-6554.23,184.21,813.94,-6370.03,-5556.09,,,,,
51,1847.26,4497.51,5310.48,516.21,266.51,-195.96,-3864.72,-31900.21,1701.04,22489.8,-6418.69,179.77,667.93,-6238.92,-5570.99,,,,,
61,1818.59,4471.12,5281.67,504.4,256.45,-213.21,-3922.74,-32059.1,1732.78,22572.26,-6309.41,179.37,442.21,-6130.04,-5687.83,,,,,
71,1843.03,4499.85,5280.09,523.63,276.14,-163.67,-3918.09,-31846.9,1711.52,22520.67,-6501.05,184.25,726.27,-6316.79,-5590.52,,,,,
81,1887.89,4475.77,5274.79,515.45,270.7,-163.19,-3910.24,-31857.44,1724.37,22383.1,-6426.21,181.45,601.2,-6244.76,-5643.55,,,,,
91,1762.05,4500.22,5229.92,505.98,273.69,-166.52,-3861.91,-31885.43,1762.9,22498.16,-6486.91,185.62,619.05,-6301.29,-5682.24,,,,,
101,1816.98,4453.57,5274.9,514.48,269.47,-206.76,-3944.76,-31976.16,1754.5,22504.43,-6391.48,180.11,460.66,-6211.37,-5750.72,,,,,
111,1880.59,4428.87,5268.21,505.73,278.67,-224.82,-3895.1,-32017.78,1711.83,22525.45,-6381.81,180.18,461.64,-6201.63,-5739.99,,,,,
121,1835.12,4474.65,5261.83,507.32,280.35,-210.94,-3892.17,-31919.75,1727.13,22621.06,-6519.68,185.05,684.61,-6334.63,-5650.03,,,,,
131,1830.83,4449.88,5264.87,520.35,267.08,-172.88,-3865.64,-32051.99,1774.86,22699.73,-6485.86,184.3,717.1,-6301.57,-5584.47,,,,,
141,1814.88,4517.16,5296.31,502.68,292.52,-173.25,-3882.78,-32033.51,1711.48,22547.21,-6370.45,183.18,592.7,-6187.27,-5594.57,,,,,
151,1832.95,4449.73,5242.44,506.34,291.04,-160.69,-3884.17,-31934.36,1737.7,22414.64,-6372.95,182.01,495.62,-6190.94,-5695.32,,,,,
161,1784.44,4490.3,5242.32,521.5,293.42,-200.79,-3932.38,-31961.92,1761.8,22660.3,-6478.89,178.99,658.98,-6299.9,-5640.92,,,,,
171,1819.64,4533.4,5287.55,516.93,266.44,-189.31,-3880.27,-32112.22,1749.62,22519.89,-6249.64,181.96,511.66,-6067.68,-5556.03,,,,,
181,1796.41,4467.27,5227.26,503.61,259.88,-167.4,-3919.61,-32280.8,1739.9,22665.52,-6206.83,181.08,292.03,-6025.75,-5733.72,,,,,
191,1803.38,4454.72,5334.4,516.53,266.61,-198.79,-3897.32,-32129.25,1745.55,22564.29,-6326.94,183.25,460.12,-6143.69,-5683.57,,,,,
201,1737.58,4429.39,5258.39,503.25,276.52,-208.85,-3880.09,-32230.2,1762.48,22618.31,-6218.14,180.66,266.78,-6037.48,-5770.7,,,,,
211,1877.62,4416.41,5273.66,507.64,290,-181.87,-3931.12,-32279.48,1727.69,22595.2,-6191.75,181.66,295.76,-6010.09,-5714.33,,,,,
221,1804.42,4455.67,5252.82,521.41,282.11,-192.21,-3914.2,-32148.37,1725.01,22633.5,-6339.12,183.84,420.17,-6155.29,-5735.12,,,,,
231,1821.1,4421.68,5233.44,518.79,272.62,-194.29,-3888.58,-31958.98,1739.37,22580.88,-6430.24,182.14,546.03,-6248.1,-5702.07,,,,,
241,1775.74,4485.99,5246.22,498.02,280.31,-165.39,-3901.63,-32214.57,1736.05,22605.23,-6241.61,181.23,345.97,-6060.38,-5714.41,,,,,
251,1797.36,4610.7,5208.93,503.75,289.21,-200.27,-3899.56,-32149.02,1704.33,22518.19,-6300.58,185.34,383.63,-6115.23,-5731.6,,,,,
261,1827.47,4467.99,5261.01,519.32,288.71,-162.71,-3864.45,-31871.73,1749.86,22527,-6580.79,185.53,742.46,-6395.25,-5652.79,,,,,
271,1802.14,4502.91,5228.42,496.97,282.1,-176.79,-3911.97,-32053.09,1753.59,22617.75,-6384.05,181.75,542.02,-6202.3,-5660.28,,,,,
281,1836.33,4503.56,5217.78,514.51,273.38,-202.32,-3925.3,-32196.31,1737.03,22507.46,-6185.18,179.57,266.11,-6005.61,-5739.49,,,,,
291,1881.69,4423.14,5258.35,513.47,266.47,-207.22,-3904.71,-32002.67,1729.91,22588.87,-6420.43,181.18,547.29,-6239.25,-5691.95,,,,,
301,1831.89,4445.77,5227.03,495.25,258.58,-178.06,-3861.07,-32121.73,1708.75,22607.34,-6356.1,186.76,413.76,-6169.34,-5755.58,,,,,
311,1853.61,4456.55,5233.93,519.54,276.74,-165.19,-3895.29,-32002.23,1715.44,22578.7,-6428.59,184.1,571.8,-6244.49,-5672.68,,,,,
321,1818.06,4495.85,5184.04,498.28,274.87,-213.27,-3900.74,-32132.29,1747.13,22663.72,-6397.18,180.16,435.65,-6217.02,-5781.37,,,,,
331,1800.12,4479.63,5266.53,513.84,283.24,-177.82,-3918.8,-32251.69,1759.18,22788.79,-6335.81,180.02,543.01,-6155.79,-5612.79,,,,,
341,1794.33,4545.24,5229.63,508.17,271.45,-181.74,-3872.35,-31974.14,1781.53,22621.05,-6510.67,185.67,723.17,-6325,-5601.83,,,,,
351,1870.94,4434.71,5224.51,512.21,274.59,-169.84,-3902.8,-31972.07,1736.05,22598.53,-6471.57,183.83,606.84,-6287.74,-5680.9,,,,,
361,1821.75,4441.25,5252.34,507.5,281.86,-206.69,-3893.6,-32070.14,1756.28,22722.18,-6435.17,183.1,612.73,-6252.07,-5639.34,,,,,
371,1811.28,4458.93,5270.17,506.36,284.39,-215.17,-3916.42,-32042.64,1740.64,22515.55,-6392.43,182.01,413.09,-6210.43,-5797.34,,,,,
381,1883.61,4466.69,5264.05,531.56,284.09,-178.6,-3875.94,-31834.39,1748.31,22402.35,-6484.5,182,691.72,-6302.5,-5610.79,,,,,
391,1823.98,4468.08,5238.36,522.39,283.23,-164.44,-3945.78,-32000.13,1749.92,22628.19,-6439.54,180.43,603.8,-6259.11,-5655.31,,,,,
401,1827.2,4524.37,5249.71,511.06,269.31,-182.36,-3889.61,-31959.89,1747.05,22524.03,-6448.17,180.84,620.87,-6267.33,-5646.47,,,,,
411,1781.01,4514.95,5237.99,502.19,283.49,-176.58,-3925.92,-32005.46,1706.56,22613.41,-6394.07,180.04,531.63,-6214.03,-5682.4,,,,,
421,1784.17,4509.13,5248.26,515.88,266.2,-173.15,-3984.86,-32026.18,1736.68,22613.17,-6371.96,178.81,489.3,-6193.15,-5703.85,,,,,
431,1867.93,4462.83,5197.15,501.74,274.62,-189.31,-3886.85,-32018.58,1726.6,22479.63,-6316.03,177.38,415.75,-6138.65,-5722.9,,,,,
441,1862.85,4486.62,5242.07,504.48,278.02,-140.82,-3934.73,-32077.86,1733.93,22470.79,-6332.52,175.59,425.36,-6156.93,-5731.58,,,,,
451,1828.45,4508.69,5237.53,495.93,272.83,-179.02,-3973.72,-32099.71,1762.07,22643.35,-6369.91,175.66,496.4,-6194.25,-5697.85,,,,,
461,1750.82,4538.84,5178.94,512.18,283.54,-183.5,-3877.2,-32113.93,1749.58,22464.56,-6300.68,180.66,303.83,-6120.01,-5816.19,,,,,
471,1767.67,4560.73,5188.89,498.56,280.62,-144.16,-3892.33,-32042.76,1758.93,22438.47,-6301.75,175.19,414.62,-6126.56,-5711.94,,,,,
481,1851.93,4516.03,5231.24,524.36,259.08,-197.39,-3904.55,-31951.65,1722.33,22516.34,-6421.41,181.13,567.7,-6240.29,-5672.59,,,,,
491,1706.91,4546.5,5238.43,501.13,287.3,-185.4,-3906.34,-32138.87,1743.29,22597.42,-6305.26,177.04,390.37,-6128.22,-5737.85,,,,,
501,1823.16,4433.42,5239.07,506.24,273.04,-186.63,-3944.18,-31999.28,1738.12,22684.04,-6436.51,177.73,566.99,-6258.78,-5691.78,,,,,
511,1895.71,4430.9,5225.46,512.62,285.02,-172.45,-3983.89,-31975.79,1706.73,22542.31,-6353.61,178.08,466.62,-6175.54,-5708.92,,,,,
521,1817.66,4443.4,5268.29,507.29,300.11,-202.3,-3927.37,-32153.11,1739.22,22591.6,-6315.55,177.48,384.77,-6138.07,-5753.31,,,,,
531,1796.97,4478.15,5235.04,506.21,271.93,-182.43,-3952.18,-32087.22,1756.38,22598.56,-6324.05,176.89,421.4,-6147.17,-5725.76,,,,,
541,1807.71,4491.21,5223.96,520.26,263.65,-194.76,-3907.34,-32060.61,1770.04,22619.59,-6396.11,178.61,533.7,-6217.5,-5683.8,,,,,
551,1859.93,4609.96,5237.13,516.92,291.86,-209.74,-3949.54,-32003.3,1731.25,22559.04,-6392.67,176.68,643.52,-6215.99,-5572.48,,,,,
561,1810.39,4532.16,5200.59,503.6,262,-181.47,-3886.59,-32218.32,1716.87,22663.09,-6333.33,178.93,402.32,-6154.4,-5752.07,,,,,
571,1779.15,4479.51,5224.14,501.12,276.87,-188.72,-3941.88,-32159.96,1774.27,22652.68,-6343.8,177.46,397.18,-6166.34,-5769.17,,,,,
581,1785.91,4402.95,5216.19,513.9,259.2,-148.18,-3900.68,-32124.45,1740.3,22639.18,-6363.48,181.52,384.32,-6181.96,-5797.64,,,,,
591,1749.34,4454.08,5279.2,512.8,287.76,-197.46,-3917.79,-32044.86,1742.61,22499.03,-6365.52,177.93,364.71,-6187.59,-5822.88,,,,,
601,1832.47,4537.17,5222.93,531.07,270.16,-220.87,-3897,-31908.06,1748.74,22479.92,-6468.59,181.46,596.53,-6287.13,-5690.59,,,,,
611,1784.95,4416.2,5236.91,501.16,283.68,-164.52,-3920.69,-32056.7,1760.73,22630.88,-6360.82,177.57,472.59,-6183.25,-5710.66,,,,,
621,1911.26,4437.16,5233.51,523.26,269.73,-188.97,-3904.91,-32020.76,1736.97,22611.2,-6451.09,176.32,608.47,-6274.77,-5666.3,,,,,
631,1821.86,4492.5,5204.57,529.46,279.67,-192.71,-3913.83,-32118.05,1764.55,22646.24,-6396.27,180.56,514.27,-6215.71,-5701.45,,,,,
641,1787.86,4487,5293.18,527.87,293.08,-176.99,-3910.03,-32027.72,1753.37,22556.12,-6459.5,177.24,583.73,-6282.26,-5698.53,,,,,
651,1771.97,4400.03,5245.57,517.77,273.26,-207.88,-3870.49,-32147.2,1774.84,22654.54,-6368.81,182.16,412.41,-6186.65,-5774.24,,,,,
661,1815.37,4391.33,5209.5,484.01,296.49,-183.31,-3925.96,-32185.84,1739.44,22615.96,-6273.5,178.16,256.98,-6095.34,-5838.36,,,,,
671,1864.71,4389.36,5242.22,519.35,262.26,-195.98,-3942.7,-31946.72,1792.63,22627.03,-6522.75,182.75,612.17,-6340,-5727.83,,,,,
681,1789.46,4444.23,5258.88,508.74,278.43,-194.71,-3980.36,-31945.54,1738.22,22604.42,-6484.54,178.32,501.76,-6306.22,-5804.46,,,,,
