GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1750.96,4400.01,4990.27,470.86,261.69,-80.68,-3973.74,-29681.07,1676.49,17363.76,-4999.75,146.85,-2821.45,-4852.9,-7674.34,,,,,,,,,
11,1819.84,4532.66,5039.59,489.55,291.47,-135.18,-3918.23,-29165.59,1609.26,17283.46,-5427.73,160.88,-2153.18,-5266.85,-7420.03,,,,,,,,,
21,1786.36,4496.56,5007.99,459.86,275.47,-114.2,-3851.24,-29191.05,1611.41,17310.15,-5400.05,161.45,-2208.69,-5238.6,-7447.3,,,,,,,,,
31,1814.73,4505.48,4976.08,483.64,272.23,-100.29,-3908.17,-29175.8,1601.29,17267.76,-5406.43,166.15,-2263.07,-5240.27,-7503.34,,,,,,,,,
41,1833.56,4504.49,5010.51,482.42,296.18,-128.55,-3834.35,-29155.8,1598,17287.75,-5479.86,168.17,-2105.79,-5311.69,-7417.48,,,,,,,,,
51,1795.14,4501.19,5016.43,481.12,265.94,-111.85,-3906.89,-29092.01,1583.02,17181.46,-5456.77,164.04,-2286.44,-5292.72,-7579.16,,,,,,,,,
61,1803.47,4437.27,4989.49,466.5,261.34,-110.46,-3880.64,-29000.32,1602.67,17188.37,-5500.64,163.95,-2242.31,-5336.69,-7579,,,,,,,,,
71,1783.88,4471.67,5001.47,482.77,259.63,-113.42,-3904.65,-29073.68,1652.03,17202.98,-5424,161.19,-2237.32,-5262.81,-7500.13,,,,,,,,,
81,1889.3,4493.66,5000.38,489.65,274.53,-108.92,-3879.62,-29073.1,1612.69,17199.94,-5448.98,163.75,-2101.51,-5285.23,-7386.74,,,,,,,,,
91,1784.21,4466.65,5002.25,467.72,285.82,-105.83,-3892.05,-29181.22,1604.46,17244.03,-5386.5,164.55,-2323.97,-5221.94,-7545.91,,,,,,,,,
101,1820.49,4474.1,4976.41,482.23,267.57,-103.09,-3888.31,-29153,1607.83,17281.95,-5445.43,163.76,-2233.81,-5281.67,-7515.48,,,,,,,,,
111,1777.14,4459.07,4967.42,450.85,252.17,-113.75,-3882.74,-29063.4,1630.33,17331.32,-5526.72,163.37,-2191.59,-5363.35,-7554.94,,,,,,,,,
121,1840.24,4521.06,4991.46,478.12,281.33,-82.86,-3886.24,-28970.23,1596.42,17186.3,-5541.85,163.65,-2044.38,-5378.2,-7422.58,,,,,,,,,
131,1759.68,4531.57,4972.73,467.62,283.68,-91.61,-3949.84,-28952.7,1601.1,17134.77,-5463.65,162.17,-2243,-5301.47,-7544.47,,,,,,,,,
141,1887.72,4595.57,4945.17,483.08,288.63,-128.3,-3908,-28812.87,1593.19,17102.03,-5619.93,164.27,-1953.78,-5455.66,-7409.44,,,,,,,,,
151,1771.38,4486.3,4998.03,488.38,261.41,-100.87,-3832.9,-28931.43,1621.15,17158.47,-5574.36,167.54,-2080.07,-5406.82,-7486.89,,,,,,,,,
161,1817.11,4490.11,4957.84,466.49,258.45,-107.11,-3871.06,-29027.67,1584.69,17171.24,-5491.89,166.36,-2259.92,-5325.53,-7585.45,,,,,,,,,
171,1861.6,4503.83,5025.87,488.71,257.73,-118.39,-3904.37,-28920.44,1589.48,17174,-5595.99,163.55,-2042,-5432.45,-7474.44,,,,,,,,,
181,1788.89,4427.08,4958.11,471.08,276.69,-95.45,-3904.89,-29056.17,1632.67,17222.23,-5459.68,162.97,-2279.75,-5296.71,-7576.47,,,,,,,,,
191,1803.44,4462.63,4947.7,463.3,253.12,-90.98,-3866.11,-29170.18,1597.86,17240.4,-5420.55,160.96,-2358.82,-5259.59,-7618.41,,,,,,,,,
201,1822.51,4409.86,4989.34,462.88,275.1,-102.42,-3904.92,-28884.08,1607.45,17162.08,-5546.54,161.81,-2162.21,-5384.72,-7546.94,,,,,,,,,
211,1887.48,4419.21,4920.3,478.81,275.91,-100.52,-3860.18,-28989.43,1610.05,17147.56,-5484.92,163.53,-2210.81,-5321.38,-7532.2,,,,,,,,,
221,1860.51,4515.33,4973.37,483.52,256.23,-72.89,-3860.47,-29095.87,1585.92,17260.34,-5483.63,163.68,-2094,-5319.95,-7413.95,,,,,,,,,
231,1763.26,4459.69,4987.13,492.53,281.3,-100.33,-3911.34,-29089.74,1610.03,17186.09,-5436.72,162.95,-2321.39,-5273.77,-7595.16,,,,,,,,,
241,1773.28,4621.03,5005.71,500.17,271.41,-150.31,-3911.83,-29013.61,1607.31,17255.22,-5510.34,161.6,-2041.62,-5348.74,-7390.36,,,,,,,,,
251,1818.41,4585.9,4955.44,487.11,261.04,-108.53,-3853.43,-28905.54,1577.85,17091.5,-5574.81,167.68,-2090.26,-5407.13,-7497.39,,,,,,,,,
261,1878.46,4556.55,4996.1,477.17,274.98,-119.87,-3890.05,-28863.34,1584.86,17093.55,-5629.24,169.24,-2011.59,-5460,-7471.59,,,,,,,,,
271,1827.16,4522.99,4993.11,467.66,254.39,-118.85,-3878.06,-28766.65,1601.29,17060.9,-5628.02,164.89,-2036.07,-5463.13,-7499.2,,,,,,,,,
281,1769.4,4506.17,5001.93,485.86,280.71,-97.69,-3890.01,-28850.53,1630.75,17187.88,-5663.68,162.29,-1975.53,-5501.39,-7476.92,,,,,,,,,
291,1775.79,4565.49,4942.2,496.79,279.27,-124.88,-3880.78,-28968.47,1612.7,17156.36,-5529.22,162.64,-2145.51,-5366.58,-7512.09,,,,,,,,,
301,1800.3,4477.89,5006.26,489.26,284.13,-114.24,-3905.77,-28997.96,1617.8,17297.36,-5608.44,165.23,-2044.97,-5443.21,-7488.18,,,,,,,,,
311,1786.43,4442,5013.42,477.09,275.4,-122.01,-3882.44,-29074.61,1617.55,17239.24,-5489.87,163.87,-2227.93,-5326.01,-7553.94,,,,,,,,,
321,1838.59,4577.74,5008.16,498.34,268.33,-118.8,-3878.45,-28982.31,1601.85,17244.89,-5608.16,164.7,-1941.65,-5443.46,-7385.11,,,,,,,,,
331,1810.52,4389.82,4969.15,477.87,264.63,-84.23,-3895.06,-28984.98,1592.77,17242.23,-5531,165.8,-2217.29,-5365.2,-7582.49,,,,,,,,,
341,1787.11,4480.03,4940.88,483.15,275.13,-90.53,-3834.52,-28920.17,1619.22,17172.13,-5610.32,170.75,-2087.56,-5439.57,-7527.13,,,,,,,,,
351,1816.15,4532.55,4947.69,474.73,262.15,-92.68,-3893.01,-28813.07,1603.96,17190.93,-5628.67,165.92,-1970.59,-5462.75,-7433.35,,,,,,,,,
361,1859.53,4472.67,4976.1,475.02,253.82,-89.18,-3872.14,-28964.95,1570.06,17158.49,-5535.54,167.09,-2160.59,-5368.45,-7529.04,,,,,,,,,
371,1779.43,4494.67,4970.07,476.59,275.24,-103.22,-3952.85,-29042.75,1595.17,17240.35,-5506.1,164.51,-2267.3,-5341.59,-7608.89,,,,,,,,,
381,1785.31,4501.92,4961.64,480.08,247.23,-125.47,-3923.12,-29122.84,1585.66,17256.48,-5423.7,162.71,-2353.12,-5260.99,-7614.11,,,,,,,,,
391,1798.75,4447.2,4966.62,475.18,259.48,-90.76,-3929.88,-29010.43,1596.08,17167.55,-5479.28,164.39,-2320.21,-5314.9,-7635.11,,,,,,,,,
401,1836.09,4457.73,4960.43,481.07,276.21,-97.88,-3862.09,-29040.12,1628.52,17139.02,-5426.18,165.9,-2221.04,-5260.28,-7481.32,,,,,,,,,
411,1816.08,4512.9,4984.83,478.68,271.15,-104.73,-3920.22,-28924.04,1621.51,17178.86,-5539.91,165.36,-2084.99,-5374.55,-7459.53,,,,,,,,,
421,1869.03,4499.84,4985.64,462.95,279.6,-122.94,-3882.97,-28902.82,1590.68,17129.08,-5541.83,170.78,-2091.9,-5371.05,-7462.95,,,,,,,,,
431,1802.95,4463.37,4981.97,477.43,250.06,-107.96,-3875.42,-28891.49,1647.5,17174.61,-5607.46,164.15,-2076.98,-5443.31,-7520.29,,,,,,,,,
441,1827.2,4526.28,4959.71,476.41,281.29,-88.61,-3843.17,-28829.19,1625.45,17102.62,-5607.15,169.11,-1962.01,-5438.04,-7400.05,,,,,,,,,
451,1888.23,4479.42,4992.53,496.84,274.3,-111.67,-3916.04,-28806.83,1591.4,17149.04,-5582.78,163.49,-1962.78,-5419.29,-7382.07,,,,,,,,,
461,1814.75,4354.93,4951.69,477.5,271.13,-109.49,-3924.97,-28881.46,1599.83,17236.78,-5608.51,160.49,-2209.29,-5448.02,-7657.31,,,,,,,,,
471,1833.27,4512.71,4992.9,456.37,278.08,-132.48,-3914.99,-28662.86,1620.16,17160.01,-5742.04,165.29,-1856.82,-5576.75,-7433.57,,,,,,,,,
481,1869.16,4467.92,4966.82,486.76,250.63,-101.24,-3901.71,-28850.65,1620.11,17178.4,-5610.89,162.28,-2013.79,-5448.61,-7462.4,,,,,,,,,
491,1813.76,4439.42,4993.34,479.68,293.64,-125.89,-3902.82,-28750.81,1619.93,17185.56,-5730.98,164.46,-1954.19,-5566.52,-7520.72,,,,,,,,,
501,1887.29,4519.95,4955.54,476.65,282.34,-105.08,-3908.55,-28680.39,1587.28,17086.13,-5721.36,162.17,-1898.83,-5559.19,-7458.02,,,,,,,,,
511,1780.52,4357.27,5005.45,473.14,280.96,-141.15,-3869.73,-28872.68,1609.36,17304.54,-5649.46,165.56,-2072.33,-5483.9,-7556.24,,,,,,,,,
521,1859.01,4506.52,4949.79,476.07,262.78,-115.65,-3922.41,-28863.33,1596.33,17279.6,-5664.23,164.58,-1971.28,-5499.65,-7470.93,,,,,,,,,
531,1825.24,4519.55,5001.85,486.12,285.63,-99.13,-3876.01,-28621.2,1614.47,17136.19,-5826.01,167.5,-1727.29,-5658.51,-7385.8,,,,,,,,,
541,1904.98,4436.7,4961.75,471.37,267.12,-101.08,-3933.52,-29017.43,1608.61,17356.35,-5571.87,162.3,-2045.16,-5409.57,-7454.73,,,,,,,,,
551,1802.75,4501.98,4999.84,489.56,269.02,-127.94,-3885.92,-28985.4,1617.53,17196.68,-5522.33,167.09,-2121.89,-5355.24,-7477.13,,,,,,,,,
561,1829.17,4390.47,4998.34,473.15,274.38,-138.98,-3936.17,-28849.84,1600.37,17194.71,-5584.43,165.01,-2164.4,-5419.42,-7583.82,,,,,,,,,
571,1768.87,4502.44,4990.63,478.57,274.64,-111,-3970.28,-28947.45,1629.49,17219.83,-5520.21,162.95,-2164.25,-5357.27,-7521.52,,,,,,,,,
581,1822.72,4594.78,4938.51,499.26,252.17,-65.94,-3930.89,-28778.72,1599.59,17131.64,-5618.71,163.44,-1936.88,-5455.27,-7392.15,,,,,,,,,
591,1837.54,4370.84,4957.9,472.07,254.34,-136.13,-3865.39,-28965.87,1609.55,17306.52,-5598.51,165.45,-2158.63,-5433.06,-7591.69,,,,,,,,,
601,1801.88,4542.02,4997.01,480.98,293.26,-147.95,-3860.65,-28973.36,1588.99,17189.19,-5550.72,166.5,-2088.64,-5384.22,-7472.86,,,,,,,,,
611,1781.88,4521.25,4997.08,488.81,278.3,-117.24,-3875.81,-28899.71,1635.86,17236.74,-5580.97,161.99,-1952.85,-5418.98,-7371.83,,,,,,,,,
621,1791.58,4515.28,5009.42,484.51,270.41,-130.54,-3845.24,-28825.38,1604.39,17158.05,-5636.32,166.97,-1967.53,-5469.35,-7436.88,,,,,,,,,
631,1811.82,4438.23,4976.02,472.24,272.62,-126.76,-3869.85,-28880.69,1628.37,17160.77,-5573.04,168.35,-2117.24,-5404.69,-7521.93,,,,,,,,,
641,1775.6,4474.76,4974.43,466.44,265.86,-133.78,-3881.5,-29052.5,1612.55,17280.84,-5486.42,163.74,-2217.28,-5322.69,-7539.97,,,,,,,,,
651,1843.42,4559.65,4944.44,465.96,277.33,-123.69,-3899.13,-28891,1602.16,17144.46,-5554.35,165.41,-2076.4,-5388.94,-7465.34,,,,,,,,,
661,1820.27,4427.65,4954.35,468.83,253.63,-126.55,-3871.45,-28815.61,1612.98,17189.31,-5621.17,167.52,-2086.59,-5453.65,-7540.25,,,,,,,,,
671,1766.7,4537.63,5013.59,484.13,277.64,-132.45,-3905.93,-28796.84,1604.11,17161.16,-5634.87,167.54,-1990.27,-5467.33,-7457.6,,,,,,,,,
681,1828.83,4570.02,4965.05,479.68,257.19,-130.64,-3899.4,-28695.68,1566.12,17159.82,-5727.72,166.65,-1898.99,-5561.07,-7460.06,,,,,,,,,
691,1801.52,4437.11,5005.69,471.46,291.67,-127.76,-3834.96,-28738.05,1608.15,17092.23,-5695.33,170.44,-1992.94,-5524.89,-7517.82,,,,,,,,,
701,1849.01,4477.91,4983.09,476.29,278.54,-113.44,-3958.81,-28828.94,1596.57,17260.68,-5662.15,164.31,-1979.08,-5497.85,-7476.93,,,,,,,,,
