GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1411,1816.36,4288.63,5193.99,511.43,292.46,-187.46,-3897.12,-31911.34,1752.88,22681.02,-6569.45,181.09,540.85,-6388.36,-5847.52,,,,,
1421,1761.64,4279.43,5228.04,516.51,272.52,-186.15,-3922.57,-32073.21,1760.83,22831.06,-6503.93,179.6,468.1,-6324.32,-5856.22,,,,,
1431,1808.17,4171.04,5242.96,498.73,263.73,-192.21,-3909.52,-32051.78,1735.84,22714.28,-6465.67,181.21,281.23,-6284.47,-6003.23,,,,,
1441,1854.91,4204.41,5224.54,510.88,285.18,-183.09,-3924.14,-32090.57,1773.38,22725.56,-6373.6,177.91,381.04,-6195.69,-5814.65,,,,,
1451,1779.59,4195.01,5208.3,518.53,284.1,-205.89,-3921.48,-31670.35,1767.37,22727.18,-6760.54,187.89,682.34,-6572.66,-5890.31,,,,,
1461,1799.66,4239.83,5223.01,484.92,280.14,-179.9,-3965.93,-31884.43,1742.49,22773.1,-6595.78,182.92,512.91,-6412.86,-5899.96,,,,,
1471,1777.68,4221.55,5284.68,506.09,276.72,-220.45,-3937.04,-32011.16,1809.69,22697.51,-6439.18,179.39,405.26,-6259.79,-5854.53,,,,,
1481,1855.72,4276.28,5219.89,512.95,283.44,-205.25,-3926.02,-31956.74,1716.38,22782.58,-6543.89,182.59,559.23,-6361.3,-5802.08,,,,,
1491,1809.5,4241.83,5240.15,511.97,269.5,-168.97,-3918.79,-31904.86,1787.16,22769.85,-6593.28,182.05,637.35,-6411.23,-5773.88,,,,,
1501,1862.64,4141.45,5244.85,503.36,276.53,-194.65,-3934.42,-31973.2,1745.19,22747.09,-6498.71,177.95,418.84,-6320.76,-5901.92,,,,,
1511,1812.48,4228.73,5213.28,499.75,284.49,-182.31,-3919.24,-32142.41,1777.67,22814.41,-6447.06,179.75,386.84,-6267.31,-5880.46,,,,,
1521,1830.91,4201.65,5159.56,512.52,281.3,-177.14,-3922.55,-31925.32,1716.36,22718.58,-6557.5,178.44,395.86,-6379.06,-5983.21,,,,,
1531,1857.17,4139.26,5238.56,502.65,278.38,-187.06,-3983.79,-32007.25,1780.17,22815.96,-6516.74,173.4,434.05,-6343.34,-5909.29,,,,,
1541,1795.72,4207.15,5186.04,500.75,280.99,-205.44,-3943.47,-31844.19,1763.36,22698.34,-6561.26,178.46,439.25,-6382.8,-5943.55,,,,,
1551,1868.56,4266.57,5245.58,526.28,267.15,-203.83,-3938.22,-31943.5,1762.81,22678.07,-6543.88,175.66,529.46,-6368.22,-5838.76,,,,,
1561,1822.24,4222.02,5181.87,519.06,276.35,-175.08,-3925.28,-31985.96,1762.94,22758.72,-6539.17,181.51,456.88,-6357.66,-5900.78,,,,,
1571,1850.82,4236.74,5237.92,496.55,271.41,-203.19,-3953.14,-32159.43,1752.81,22757.72,-6362.81,174.51,288.21,-6188.3,-5900.09,,,,,
1581,1851.14,4199.14,5232.56,503.76,276.59,-169.45,-3954.67,-31732.91,1757.83,22648.5,-6680.3,181.12,612.48,-6499.18,-5886.7,,,,,
1591,1790.96,4260.78,5198.58,501.3,264.81,-193.03,-3946.95,-31641.5,1762.09,22660.87,-6729.14,177.97,657.91,-6551.16,-5893.25,,,,,
1601,1773.6,4231.56,5237.22,513.31,266.52,-171.87,-3941.16,-31749.75,1771.47,22662.31,-6655.97,179.1,593.22,-6476.87,-5883.65,,,,,
1611,1734.96,4179.22,5228.76,484.74,256.8,-183.16,-3951.22,-31711.75,1769.76,22840.89,-6764.19,177.87,649,-6586.32,-5937.32,,,,,
1621,1855.72,4162.94,5212.39,510.01,286.78,-201.23,-3938.39,-31649.85,1738.58,22677.9,-6761.79,176.44,654.86,-6585.36,-5930.49,,,,,
1631,1819.47,4341.35,5248.71,508.65,280.97,-203.34,-3938.85,-31826.21,1751.63,22594.58,-6545.95,176.94,576.95,-6369.01,-5792.06,,,,,
1641,1760.5,4226.63,5228.41,488.58,264.61,-177.88,-3926.49,-31767.66,1758.03,22740.87,-6713.02,180.14,595.6,-6532.88,-5937.29,,,,,
1651,1816.69,4214.8,5181.55,516.74,273.74,-191.44,-3950.68,-31852.09,1755.22,22724.95,-6613.5,178.76,489.48,-6434.74,-5945.26,,,,,
1661,1815.8,4182.51,5249.08,509.92,281.15,-195.73,-3928.84,-31768.79,1738.62,22622.97,-6628.57,180.19,506.69,-6448.38,-5941.69,,,,,
1671,1779.6,4234.74,5241.09,506.04,281.13,-191.71,-3929.48,-31914.25,1802.07,22730,-6562.81,181.02,539.25,-6381.8,-5842.55,,,,,
1681,1910.82,4165.09,5268.99,511.54,273.46,-202.66,-3980.56,-31840.78,1788.36,22645.53,-6561.37,179.28,539.8,-6382.1,-5842.3,,,,,
1691,1770.56,4222.36,5214.66,503.2,273.76,-179.11,-3928.75,-31860.46,1766.56,22700.45,-6524.38,179.12,483.23,-6345.26,-5862.02,,,,,
1701,1842.12,4335.51,5221.03,505.58,270.45,-183.42,-3903.21,-31880.75,1741.81,22663.64,-6575.54,181.36,612.76,-6394.18,-5781.42,,,,,
1711,1784.99,4226.89,5273.61,498.65,274.4,-192.57,-3964.63,-31853.61,1744.04,22736.06,-6649.97,180.38,527.82,-6469.59,-5941.76,,,,,
1721,1810.67,4219.77,5201.93,492.91,275.23,-180.28,-3949.91,-32078.57,1746.21,22824.79,-6476.44,176.93,362.74,-6299.5,-5936.76,,,,,
1731,1867.49,4187.26,5170.77,501.98,279.18,-171.64,-3893.5,-31975.84,1764.64,22757.38,-6511.68,181.38,487.71,-6330.3,-5842.59,,,,,
1741,1781.18,4286.42,5238.95,507.1,272.07,-176.07,-3929.8,-31880.4,1757.04,22837.03,-6702.4,181.8,693.52,-6520.6,-5827.08,,,,,
1751,1801.79,4229.64,5203.47,529.6,263.32,-169.56,-3949.51,-31832.61,1759.34,22784.59,-6662.48,178.83,620.08,-6483.65,-5863.57,,,,,
1761,1839.39,4234.37,5183.08,499.27,276.88,-159.29,-3935.67,-31669.42,1751.08,22710.89,-6802.16,185.8,730.57,-6616.37,-5885.79,,,,,
1771,1886.21,4190.65,5189.46,505.02,275.38,-187.76,-3911.56,-31459.49,1717.83,22631.47,-6941.76,184.07,837.22,-6757.69,-5920.47,,,,,
1781,1838.5,4145.97,5212.42,507.04,273.41,-178.88,-3880.38,-31723.85,1766.08,22722.81,-6723.49,184.63,683.12,-6538.86,-5855.74,,,,,
1791,1831.23,4237.97,5201.36,514.32,282.1,-189.16,-3900.92,-31746.34,1764.7,22681.45,-6689.68,183.56,676.71,-6506.13,-5829.42,,,,,
1801,1778.91,4135.69,5241.03,513.5,297.78,-149.11,-3945.21,-31687.24,1779.67,22843.78,-6814.3,180.02,808.8,-6634.28,-5825.47,,,,,
1811,1756.4,4222.64,5236.22,523.45,283.44,-192.84,-3944.24,-31641.21,1783.36,22736.71,-6808.21,183.03,763.93,-6625.18,-5861.25,,,,,
1821,1792.13,4241.96,5284.3,515.66,273.96,-184.77,-3962.67,-31736.28,1772.68,22646.17,-6624.75,180.26,643.13,-6444.49,-5801.36,,,,,
1831,1829.67,4237.62,5226.19,509.09,262.71,-166.2,-3906.86,-31888.85,1742.9,22679.56,-6593.56,177.67,525.82,-6415.89,-5890.07,,,,,
1841,1812.35,4199.52,5196.13,495.19,259.54,-181.9,-3924.4,-31782.17,1770.64,22747.7,-6674.54,180.98,592.61,-6493.56,-5900.95,,,,,
1851,1778.64,4197.37,5249.71,510.84,280.42,-197.59,-3960.85,-31729.26,1778.99,22705.03,-6702.07,181.83,613.3,-6520.24,-5906.93,,,,,
1861,1764.92,4254.45,5201.88,506.54,274.48,-204.11,-3925.95,-31440.97,1781.69,22697.26,-6974.78,184.8,910.2,-6789.97,-5879.78,,,,,
1871,1815.21,4250.98,5189.33,532.16,267.34,-192.41,-3913.43,-31734.29,1768.83,22683.16,-6686.47,182.44,666.88,-6504.03,-5837.15,,,,,
1881,1770.82,4186.85,5262.82,490.34,284.24,-182.97,-3916.12,-31943.06,1751.54,22715.47,-6546.59,179.51,419.92,-6367.08,-5947.16,,,,,
1891,1822.37,4332.84,5280.66,521.8,302.69,-170.02,-3969.69,-31800.93,1713.84,22646.64,-6590.84,179.55,680.2,-6411.29,-5731.08,,,,,
1901,1810.13,4193.11,5231.7,504.24,278.34,-224.12,-3909.52,-31658.09,1762.81,22685.4,-6744.67,179.75,674,-6564.93,-5890.92,,,,,
1911,1835.76,4242.9,5236.81,503.98,252.48,-202.38,-3947.17,-31769.06,1763.65,22707.84,-6612.68,178.32,624.8,-6434.36,-5809.56,,,,,
1921,1850.23,4209.6,5179.6,522.27,282.11,-220.05,-3919.56,-31765.91,1748.91,22752.28,-6716.68,179.45,639.47,-6537.24,-5897.77,,,,,
1931,1767.55,4350.49,5229.99,503.7,259.7,-223.15,-3902.6,-31743.46,1741.81,22671.83,-6698.09,181.37,655.86,-6516.73,-5860.87,,,,,
1941,1823.98,4243.37,5215.18,502.32,274.85,-212.2,-3954.45,-31704.3,1774.46,22652.16,-6701.92,180.65,615.39,-6521.27,-5905.89,,,,,
1951,1844.4,4242.6,5245.44,497.85,253.99,-220.65,-3969.74,-31708.08,1767.16,22703.59,-6700.84,180.36,656.56,-6520.48,-5863.92,,,,,
1961,1772.45,4229.47,5215.26,510.8,271,-198.94,-3904.07,-31646.69,1748.65,22694.27,-6793.03,178.38,692.2,-6614.65,-5922.45,,,,,
1971,1730.75,4256.82,5221.19,485.72,267.58,-187.13,-3901.4,-31623.86,1759.77,22681.61,-6816.53,181.97,691.04,-6634.56,-5943.52,,,,,
1981,1829.38,4204.71,5215.8,518.18,292.53,-193.8,-3913.05,-31874.62,1750.71,22707.82,-6576.52,178.57,537.66,-6397.95,-5860.28,,,,,
1991,1798.69,4252.81,5224.53,501.03,275.65,-183.76,-3944.61,-31663.58,1753.1,22699.8,-6745.2,179.45,713.67,-6565.75,-5852.08,,,,,
2001,1765.02,4153.03,5243.11,491.73,278.55,-200.97,-3934.92,-31831.31,1774.77,22833.59,-6680.16,177.67,572.63,-6502.49,-5929.86,,,,,
2011,1816.28,4258.6,5232.85,504.23,260.29,-186.28,-3966.15,-31820.21,1783.02,22622.88,-6565.91,173.2,505.5,-6392.71,-5887.21,,,,,
2021,1873.6,4200.89,5250.16,500.96,293.26,-188.66,-3970.72,-31820.23,1745.32,22676.03,-6586.36,174.91,560.61,-6411.45,-5850.84,,,,,
2031,1848.62,4154.22,5247.39,509.06,263.79,-197.52,-3933.18,-31728.78,1743.09,22641.29,-6650.22,179.29,548,-6470.92,-5922.93,,,,,
2041,1851.08,4199.69,5238.54,531.38,267.87,-205.33,-3952.46,-31777.93,1765.44,22711.5,-6695.36,177.75,629.78,-6517.61,-5887.82,,,,,
2051,1819.8,4214.89,5169.6,506.86,268.76,-185.91,-3969.87,-31537,1768.96,22603.49,-6781.96,177.57,659.57,-6604.38,-5944.81,,,,,
