GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,,,,,
1,1755.54,4197.67,4966.06,457.63,274.13,-76.89,-3985.73,-29774.41,1648.76,17287.62,-4913.35,143.89,-3249.59,-4769.46,-8019.05,,,,,,,,,
11,1820.29,4268.82,4978.2,472.38,263.35,-89.32,-3868.3,-29385.63,1598.01,17172.26,-5206.09,160.29,-2769.95,-5045.8,-7815.75,,,,,,,,,
21,1780.92,4258.95,4987,491.26,267.87,-112.88,-3890.48,-29375.58,1615.79,17231.33,-5191.3,159,-2745.82,-5032.3,-7778.12,,,,,,,,,
31,1897.41,4258.7,4931.01,486.36,281.6,-95.22,-3868.14,-29317.38,1616.5,17179.83,-5248.8,163.54,-2629.32,-5085.26,-7714.58,,,,,,,,,
41,1746.95,4307.35,4960.15,486.84,250.59,-105.05,-3872.29,-29360.63,1606.08,17188.15,-5235.64,161.91,-2791.86,-5073.74,-7865.6,,,,,,,,,
51,1841.42,4259.42,4984.45,485.49,274.66,-90.33,-3895.3,-29273.64,1594.73,17128.98,-5281.21,159.07,-2690.11,-5122.14,-7812.25,,,,,,,,,
61,1839.12,4254.74,4953.09,481.09,285.35,-92.17,-3834.41,-29287.65,1601.08,17030.34,-5214.43,159.49,-2769.42,-5054.94,-7824.36,,,,,,,,,
71,1812.52,4253.05,5015.11,477.06,262.95,-110.65,-3898.33,-29170.29,1636.17,17051.82,-5301.25,159.3,-2670.6,-5141.95,-7812.54,,,,,,,,,
81,1805.48,4221.18,5000.93,468.91,276.44,-86.7,-3956.78,-29090.94,1630.46,17102.1,-5356.04,157.75,-2628.92,-5198.29,-7827.21,,,,,,,,,
91,1781.37,4326.5,4971.03,477.68,275.62,-127,-3873.42,-28975.32,1607.84,17021.82,-5437.9,163.75,-2513.87,-5274.15,-7788.02,,,,,,,,,
101,1782.42,4315.04,4982.58,482.05,275.59,-144.11,-3856.87,-29125.19,1631.86,17122.58,-5413.03,167.1,-2534.04,-5245.93,-7779.97,,,,,,,,,
111,1824.74,4328.09,4965.11,489.5,270.96,-100.54,-3953.86,-29033.08,1578.52,17046.94,-5428.44,168.48,-2583.62,-5259.96,-7843.58,,,,,,,,,
121,1854.5,4239.92,4970.95,481.38,280.28,-106.94,-3897.42,-28937.39,1601.56,17053.53,-5536.05,165.46,-2459.64,-5370.59,-7830.23,,,,,,,,,
131,1815.19,4213.78,4981.03,463.72,280.46,-121.94,-3852,-29128.28,1620.53,17115.08,-5396.38,163.2,-2612.44,-5233.18,-7845.62,,,,,,,,,
141,1867.18,4187.07,4979.44,482.39,267.35,-108.33,-3880.98,-29141.96,1613.6,17230.71,-5417.85,166.28,-2503.52,-5251.56,-7755.09,,,,,,,,,
151,1803.04,4224.91,4995.36,465.09,292.19,-125.4,-3860.37,-29098.48,1621.21,17101.02,-5414.08,166.53,-2581.43,-5247.54,-7828.97,,,,,,,,,
161,1756.19,4304.01,4932.37,475.9,284.66,-103.82,-3871.33,-29169.92,1595.39,17252.25,-5410.32,167.28,-2544.31,-5243.03,-7787.34,,,,,,,,,
171,1776.83,4239.8,5013.72,476.84,276.24,-121.04,-3884.39,-29090.01,1622.62,17062.46,-5356.13,162.48,-2626.95,-5193.65,-7820.6,,,,,,,,,
181,1842.94,4271.78,4972.05,482.58,250.07,-107.06,-3872.32,-28997.9,1613.19,17071.61,-5419.16,165.77,-2473.06,-5253.39,-7726.45,,,,,,,,,
191,1811.87,4269.68,4947.5,486.46,281.41,-143.95,-3902.25,-29126.8,1611.5,17109.62,-5336.65,160.15,-2654.96,-5176.5,-7831.46,,,,,,,,,
201,1805.04,4273.59,4969.48,482.58,264.88,-103.41,-3886.97,-29049.83,1587.28,17035.91,-5400.68,163.86,-2621.44,-5236.82,-7858.27,,,,,,,,,
211,1758.13,4287.93,4982.65,482.99,284.74,-77.62,-3896.92,-29071.8,1641.57,17084.88,-5362.08,161.85,-2523.46,-5200.22,-7723.68,,,,,,,,,
221,1792.8,4276.59,4997.03,475.11,291.87,-135.35,-3867.45,-29122.01,1641.25,17152.63,-5389.14,164.09,-2497.55,-5225.05,-7722.6,,,,,,,,,
231,1794.87,4208.74,4955.17,479.38,279.41,-109.83,-3840.11,-29051.27,1617.41,17164.19,-5460.59,165.79,-2502.03,-5294.8,-7796.83,,,,,,,,,
241,1847.15,4236.76,5006.12,479.45,274.52,-128.26,-3855.86,-28859.76,1625.16,17087.78,-5611.14,165.19,-2286.94,-5445.95,-7732.88,,,,,,,,,
251,1820.04,4332.44,4957.4,483.46,297.46,-130.15,-3866.87,-28992.2,1609.72,17076.72,-5471.26,165.63,-2411.98,-5305.63,-7717.61,,,,,,,,,
261,1816.97,4208.97,4956.25,482.29,284.4,-104.53,-3916.93,-28985.63,1624.67,17153.91,-5513.6,167.67,-2479.62,-5345.92,-7825.54,,,,,,,,,
271,1833.97,4267.99,4971.18,491.49,266.7,-115.82,-3883.21,-28968.17,1632.74,17183.91,-5506.52,168.41,-2319.22,-5338.12,-7657.34,,,,,,,,,
