GENERALIZED BORN:,,,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,,,
1,1720.45,4420.43,5369.62,500.36,276.23,-176.16,-3990.1,-32460.75,1766.51,22690.07,-5929.65,161.06,116.66,-5768.59,-5651.93,,,,,
11,1837.33,4579.79,5333.26,508.6,303.24,-203.15,-3858.81,-31998.88,1700.8,22612.25,-6483.44,183.72,814.42,-6299.72,-5485.3,,,,,
21,1832.71,4497.71,5327.09,514.13,295.93,-180.51,-3901.48,-31968.87,1726.82,22621.15,-6441.53,181.72,764.67,-6259.81,-5495.13,,,,,
31,1903.67,4462.75,5287.02,527.42,260.87,-181.03,-3889.56,-31937.88,1751.4,22587.67,-6480.55,180.77,772.35,-6299.78,-5527.44,,,,,
41,1806.12,4532.63,5295.67,517.52,262.2,-192.81,-3906.11,-31983.83,1726.76,22571.33,-6438.17,183.51,629.48,-6254.65,-5625.18,,,,,
51,1811.5,4541.82,5276.83,512.12,270.13,-196.79,-3864.21,-32265.11,1757.41,22770.69,-6309.31,179.84,614.4,-6129.48,-5515.07,,,,,
61,1845.96,4408.24,5326.15,489.8,289.05,-210.99,-3880.43,-31983.26,1733.38,22655.12,-6483.94,188.67,673.04,-6295.27,-5622.23,,,,,
71,1877.03,4466.89,5260.94,519.24,288.07,-192.82,-3850.79,-32070.94,1724.33,22638.1,-6400.76,187.87,660.06,-6212.89,-5552.83,,,,,
81,1791.69,4469.86,5235.41,513.98,284.17,-207.02,-3856.58,-32088.59,1769.83,22704.39,-6416.25,190,617.14,-6226.25,-5609.11,,,,,
91,1807.19,4536.45,5269.85,526.86,282.14,-205.93,-3858.54,-31952.4,1739.26,22589.02,-6494.47,188.54,733.9,-6305.93,-5572.03,,,,,
101,1808.31,4530.09,5264.32,509.34,289.98,-185.42,-3851,-32036.15,1718.33,22622.72,-6400,182.03,670.51,-6217.97,-5547.46,,,,,
111,1816.51,4525.41,5224.76,506.19,270.79,-216.64,-3840.66,-32006.19,1727.09,22568.22,-6457.27,185.32,575.48,-6271.95,-5696.47,,,,,
121,1835.5,4441.35,5256.38,517.53,286.41,-207.72,-3841.44,-31987.78,1730.99,22645.13,-6494.75,189.56,676.35,-6305.19,-5628.84,,,,,
131,1802.26,4564.31,5268.18,493.2,283.85,-190.85,-3863.23,-32115.48,1726.27,22610.95,-6370.37,183.89,579.44,-6186.48,-5607.04,,,,,
141,1836.43,4374.88,5267.47,494.89,285.23,-214.2,-3874.91,-31993.78,1761.38,22601.87,-6460.72,185.11,539.27,-6275.61,-5736.34,,,,,
151,1814.79,4557.64,5243.01,520.9,273.27,-184.24,-3841.29,-32094.77,1724.06,22648.32,-6451.04,191.63,661.69,-6259.41,-5597.72,,,,,
161,1821.29,4434.52,5259.78,503.83,270.43,-194.59,-3839,-31941.37,1728.2,22609.46,-6545.27,188.55,652.57,-6356.72,-5704.15,,,,,
